ticker,CompanyName,Country,Sector,Industry,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
NVST,Envista Holdings Corporation,United States,Healthcare,Medical Instruments & Supplies,61,133.45,0.049,0.762,0.98,0.007,0.07,52.26,73.45,101.64,107.79,54.43,BUY - Stable quality
INMD,InMode Ltd.,Israel,Healthcare,Medical Devices,61,101.0,0.035,0.71,0.74,0.007,0.27,281.92,75.91,71.74,74.9,43.1,BUY - Stable quality
GNW,"Genworth Financial, Inc.",United States,Financial Services,Insurance - Life,61,141.09,0.055,0.634,1.22,0.009,0.2,32.0,72.16,89.5,95.66,43.0,BUY - Stable quality
TAL,TAL Education Group,China,Consumer Defensive,Education & Training Services,61,120.82,0.083,0.833,1.61,0.013,0.1,115.97,75.66,100.67,111.02,42.54,BUY - Stable quality
ALGM,"Allegro MicroSystems, Inc.",United States,Technology,Semiconductors,61,142.5,0.106,0.785,2.11,0.015,0.1,28.95,74.08,111.92,126.44,40.64,BUY - Quality growth
MANH,"Manhattan Associates, Inc.",United States,Technology,Software - Application,61,109.46,0.068,0.8,1.34,0.012,0.18,208.82,76.45,87.6,94.98,40.59,BUY - Stable quality
FCN,"FTI Consulting, Inc.",United States,Industrials,Consulting Services,61,90.21,0.032,0.686,0.68,0.008,0.1,377.33,71.82,61.85,64.31,38.33,BUY - Stable quality
SKX,"Skechers U.S.A., Inc.",United States,Consumer Cyclical,Footwear & Accessories,61,112.58,0.047,0.643,1.04,0.009,0.38,183.26,76.02,72.35,76.61,37.58,BUY - Stable quality
IOT,Samsara Inc.,United States,Technology,Software - Infrastructure,61,120.01,-0.076,0.843,1.46,0.012,0.17,124.67,57.41,101.21,91.66,37.19,BUY - Stable quality
IPGP,IPG Photonics Corporation,United States,Technology,Semiconductor Equipment & Materials,61,133.71,0.133,0.84,2.56,0.019,0.2,52.0,77.28,112.3,130.36,36.59,BUY - Stable quality
EDU,New Oriental Education & Technology Group Inc.,China,Consumer Defensive,Education & Training Services,61,91.38,0.08,0.899,1.49,0.016,0.23,366.74,79.99,82.11,90.24,36.21,BUY - Stable quality
PCTY,Paylocity Holding Corporation,United States,Technology,Software - Application,61,120.35,-0.06,0.708,1.25,0.01,0.25,121.23,55.21,85.23,78.93,35.15,BUY - Stable quality
CRUS,"Cirrus Logic, Inc.",United States,Technology,Semiconductors,61,125.44,0.087,0.709,1.83,0.015,0.27,86.16,75.14,88.9,98.46,34.81,BUY - High score acceptable risk
GME,GameStop Corp.,United States,Consumer Cyclical,Specialty Retail,61,121.98,-0.07,0.75,1.42,0.012,0.22,108.1,55.66,91.43,83.53,34.5,BUY - High score acceptable risk
CIEN,Ciena Corporation,United States,Technology,Communication Equipment,61,158.36,0.169,0.789,3.34,0.021,0.17,8.39,74.88,124.87,149.73,34.49,BUY - High score acceptable risk
CYBR,CyberArk Software Ltd.,Israel,Technology,Software - Infrastructure,61,130.19,0.068,0.612,1.53,0.012,0.03,63.3,67.87,79.73,86.44,34.18,BUY - High score acceptable risk
NBIX,"Neurocrine Biosciences, Inc.",United States,Healthcare,Drug Manufacturers - Specialty & Generic,61,143.76,0.146,0.787,2.89,0.02,0.33,26.05,78.26,113.12,132.85,34.15,BUY - High score acceptable risk
QRVO,"Qorvo, Inc.",United States,Technology,Semiconductors,61,131.84,0.066,0.59,1.52,0.012,0.17,58.51,69.88,77.8,84.18,33.43,BUY - High score acceptable risk
YELP,Yelp Inc.,United States,Communication Services,Internet Content & Information,61,125.16,-0.094,0.833,1.81,0.014,0.1,87.02,55.55,104.29,92.3,32.9,BUY - High score acceptable risk
VEEV,Veeva Systems Inc.,United States,Healthcare,Health Information Services,61,129.88,-0.085,0.76,1.71,0.013,0.02,65.26,51.81,98.67,88.39,32.64,BUY - High score acceptable risk
CRL,"Charles River Laboratories International, Inc.",United States,Healthcare,Diagnostics & Research,61,70.92,0.061,0.886,1.15,0.016,0.2,564.61,78.95,62.8,67.58,31.45,HOLD - Stable but flat
ELF,"e.l.f. Beauty, Inc.",United States,Consumer Defensive,Household & Personal Products,61,140.75,0.151,0.761,3.05,0.022,0.18,33.3,74.33,107.11,126.44,31.21,HOLD - Modest potential
