ticker,CompanyName,Country,Sector,Industry,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
QLYS,"Qualys, Inc.",United States,Technology,Software - Infrastructure,67,88.94,-0.027,0.763,0.6,0.007,0.06,31.09,53.41,67.82,65.52,40.9,BUY - Stable quality
WDAY,"Workday, Inc.",United States,Technology,Software - Application,67,83.59,-0.045,0.893,0.92,0.011,0.11,78.45,57.81,74.66,70.46,36.61,BUY - Stable quality
RMBS,Rambus Inc.,United States,Technology,Semiconductors,67,97.25,0.067,0.837,1.41,0.014,0.21,5.16,77.9,81.41,88.13,36.57,BUY - Stable quality
CRM,"Salesforce, Inc.",United States,Technology,Software - Application,67,79.12,-0.026,0.749,0.59,0.007,0.14,128.85,54.45,59.25,57.3,36.08,BUY - Stable quality
DDOG,"Datadog, Inc.",United States,Technology,Software - Application,67,87.23,0.057,0.848,1.2,0.014,0.05,42.27,74.97,73.96,79.21,36.01,BUY - Stable quality
PCTY,Paylocity Holding Corporation,United States,Technology,Software - Application,67,84.27,-0.048,0.896,0.97,0.012,0.12,69.36,58.14,75.47,70.99,35.98,BUY - Stable quality
MTD,Mettler-Toledo International Inc.,United States,Healthcare,Diagnostics & Research,67,68.25,0.038,0.868,0.78,0.011,0.11,271.82,77.02,59.25,62.02,34.85,BUY - High score acceptable risk
IDXX,"IDEXX Laboratories, Inc.",United States,Healthcare,Diagnostics & Research,67,77.62,0.025,0.673,0.59,0.008,0.05,146.78,70.34,52.25,53.88,33.88,BUY - High score acceptable risk
LSCC,Lattice Semiconductor Corporation,United States,Technology,Semiconductors,67,81.67,0.064,0.873,1.33,0.016,0.03,101.01,75.18,71.31,76.98,33.09,BUY - High score acceptable risk
DT,"Dynatrace, Inc.",United States,Technology,Software - Application,67,85.09,-0.026,0.646,0.63,0.007,0.12,59.93,51.07,54.98,53.18,32.59,BUY - High score acceptable risk
