Ticker,CompanyName,Country,Rank_in_Ranked,Score,Rank_in_Stability,Stability_Adjusted_Score,Avg_Score,Linear_R2,Linear_Slope,Recommendation,Combined_Rank,Sector,Industry
META,"Meta Platforms, Inc.",United States,7,94.97,3,50.88,94.59,0.716,0.0483,BUY - Stable quality,10,Communication Services,Internet Content & Information
DASH,"DoorDash, Inc.",United States,14,92.35,1,64.22,92.26,0.795,0.0214,BUY - Stable quality,15,Consumer Cyclical,Internet Retail
MNST,Monster Beverage Corporation,United States,9,93.34,12,43.22,94.2,0.732,-0.0571,BUY - Stable quality,21,Consumer Defensive,Beverages - Non-Alcoholic
AXON,"Axon Enterprise, Inc.",United States,17,91.71,8,48.04,92.12,0.669,-0.0272,BUY - Stable quality,25,Industrials,Aerospace & Defense
PINS,"Pinterest, Inc.",United States,24,90.33,2,55.41,89.25,0.875,0.0685,BUY - Stable quality,26,Communication Services,Internet Content & Information
VEEV,Veeva Systems Inc.,United States,6,96.14,25,38.95,96.49,0.491,-0.0182,BUY - High score acceptable risk,31,Healthcare,Health Information Services
DUOL,"Duolingo, Inc.",United States,16,92.01,17,40.77,92.97,0.833,-0.0878,BUY - Stable quality,33,Technology,Software - Application
CDNS,"Cadence Design Systems, Inc.",United States,8,93.85,30,36.64,93.02,0.492,0.0284,BUY - High score acceptable risk,38,Technology,Software - Application
NXT,Nextracker Inc.,United States,11,93.0,40,34.59,92.94,0.559,0.0646,HOLD - Modest potential,51,Technology,Solar
CPRT,"Copart, Inc.",United States,35,87.7,18,40.77,89.0,0.831,-0.0803,BUY - Stable quality,53,Industrials,Specialty Business Services
FFIV,"F5, Inc.",United States,21,90.59,41,34.39,90.86,0.466,-0.019,WATCH - Monitor for opportunity,62,Technology,Software - Infrastructure
NOW,"ServiceNow, Inc.",United States,27,89.27,38,35.46,89.67,0.533,-0.0302,BUY - High score acceptable risk,65,Technology,Software - Application
SPOT,Spotify Technology S.A.,Luxembourg,30,89.07,35,35.69,89.13,0.461,-0.0126,BUY - High score acceptable risk,65,Communication Services,Internet Content & Information
DECK,Deckers Outdoor Corporation,United States,62,84.96,5,49.2,84.91,0.746,-0.0289,BUY - Stable quality,67,Consumer Cyclical,Footwear & Accessories
CELH,"Celsius Holdings, Inc.",United States,38,87.52,29,36.95,86.46,0.708,0.1006,BUY - High score acceptable risk,67,Consumer Defensive,Beverages - Non-Alcoholic
UTHR,United Therapeutics Corporation,United States,22,90.5,45,33.13,90.52,0.453,-0.0194,WATCH - Monitor for opportunity,67,Healthcare,Drug Manufacturers - Specialty & Generic
PAYC,"Paycom Software, Inc.",United States,25,89.65,46,33.09,91.16,0.705,-0.0857,WATCH - Monitor for opportunity,71,Technology,Software - Application
DDOG,"Datadog, Inc.",United States,39,87.36,33,36.0,85.98,0.68,0.0926,BUY - High score acceptable risk,72,Technology,Software - Application
GRMN,Garmin Ltd.,Switzerland,33,88.92,39,34.73,88.55,0.644,0.092,HOLD - Modest potential,72,Technology,Scientific & Technical Instruments
EXEL,"Exelixis, Inc.",United States,2,100.49,72,29.34,100.54,0.382,0.0308,WATCH - Monitor for opportunity,74,Healthcare,Biotechnology
WDAY,"Workday, Inc.",United States,71,83.79,16,41.14,84.43,0.881,-0.0815,BUY - Stable quality,87,Technology,Software - Application
LRCX,Lam Research Corporation,United States,32,88.93,59,31.12,87.95,0.659,0.13,HOLD - Modest potential,91,Technology,Semiconductor Equipment & Materials
PLTR,Palantir Technologies Inc.,United States,1,101.37,93,27.77,101.77,0.356,-0.0222,WATCH - Monitor for opportunity,94,Technology,Software - Infrastructure
NVDA,NVIDIA Corporation,United States,3,100.15,94,27.76,100.11,0.509,0.1063,WATCH - Monitor for opportunity,97,Technology,Semiconductors
ZM,Zoom Communications Inc.,United States,66,84.4,34,35.73,85.14,0.568,-0.0314,BUY - High score acceptable risk,100,Technology,Software - Application
APP,AppLovin Corporation,United States,93,82.31,10,44.83,82.33,0.604,-0.0103,BUY - Stable quality,103,Communication Services,Advertising Agencies
MMYT,MakeMyTrip Limited,India,61,85.02,43,34.37,85.49,0.757,-0.0832,WATCH - Monitor for opportunity,104,Consumer Cyclical,Travel Services
ANSS,"ANSYS, Inc.",United States,92,82.54,14,42.03,81.5,0.737,0.0647,BUY - Stable quality,106,Technology,Software - Application
DOCU,"DocuSign, Inc.",United States,95,81.92,13,43.13,82.35,0.761,-0.0449,BUY - Stable quality,108,Technology,Software - Application
GWRE,"Guidewire Software, Inc.",United States,90,82.56,20,40.52,83.8,0.949,-0.0981,BUY - Stable quality,110,Technology,Software - Application
GRAB,Grab Holdings Limited,Singapore,67,84.29,44,33.38,83.21,0.554,0.0479,HOLD - Modest potential,111,Technology,Software - Application
SHOP,Shopify Inc.,Canada,28,89.27,85,28.45,88.08,0.432,0.0363,WATCH - Monitor for opportunity,113,Technology,Software - Application
TME,Tencent Music Entertainment Group,China,82,83.19,31,36.42,81.58,0.662,0.0685,BUY - High score acceptable risk,113,Communication Services,Internet Content & Information
ROKU,"Roku, Inc.",United States,57,85.27,56,31.52,84.75,0.507,0.0432,HOLD - Modest potential,113,Communication Services,Entertainment
ALGN,"Align Technology, Inc.",United States,111,80.73,6,48.58,80.38,0.825,0.0586,BUY - Stable quality,117,Healthcare,Medical Instruments & Supplies
TSM,Taiwan Semiconductor Manufacturing Company Limited,Taiwan,54,85.73,66,30.13,84.83,0.54,0.0655,HOLD - Modest potential,120,Technology,Semiconductors
YELP,Yelp Inc.,United States,85,83.07,36,35.58,83.29,0.567,-0.0291,BUY - High score acceptable risk,121,Communication Services,Internet Content & Information
PANW,"Palo Alto Networks, Inc.",United States,51,85.87,71,29.4,85.87,0.476,-0.0321,WATCH - Monitor for opportunity,122,Technology,Software - Infrastructure
ONON,On Holding AG,Switzerland,18,91.7,109,26.05,91.79,0.363,0.0268,WATCH - Monitor for opportunity,127,Consumer Cyclical,Footwear & Accessories
NBIX,"Neurocrine Biosciences, Inc.",United States,108,80.78,26,38.62,80.14,0.586,0.0274,BUY - High score acceptable risk,134,Healthcare,Drug Manufacturers - Specialty & Generic
PDD,PDD Holdings Inc.,Ireland,80,83.24,67,30.05,82.74,0.433,0.0203,HOLD - Modest potential,147,Consumer Cyclical,Internet Retail
TYL,"Tyler Technologies, Inc.",United States,144,77.28,9,45.34,77.96,0.913,-0.06,BUY - Stable quality,153,Technology,Software - Application
AMAT,"Applied Materials, Inc.",United States,81,83.21,74,29.09,80.87,0.851,0.2615,WATCH - Monitor for opportunity,155,Technology,Semiconductor Equipment & Materials
CRM,"Salesforce, Inc.",United States,122,79.39,37,35.52,79.72,0.592,-0.0298,BUY - High score acceptable risk,159,Technology,Software - Application
AMD,"Advanced Micro Devices, Inc.",United States,43,86.8,119,24.83,84.89,0.481,0.077,AVOID - Poor risk-adjusted score,162,Technology,Semiconductors
PODD,Insulet Corporation,United States,112,80.72,51,32.3,81.9,0.649,-0.0586,WATCH - Monitor for opportunity,163,Healthcare,Medical Devices
COIN,"Coinbase Global, Inc.",United States,41,86.91,124,24.32,84.89,0.748,0.2905,AVOID - Poor risk-adjusted score,165,Financial Services,Financial Data & Stock Exchanges
OKTA,"Okta, Inc.",United States,105,80.92,62,30.54,81.94,0.695,-0.079,WATCH - Monitor for opportunity,167,Technology,Software - Infrastructure
NICE,NICE Ltd.,Israel,114,80.36,55,31.88,81.38,0.646,-0.0589,WATCH - Monitor for opportunity,169,Technology,Software - Application
IDXX,"IDEXX Laboratories, Inc.",United States,149,77.01,22,39.58,77.03,0.589,0.0183,BUY - High score acceptable risk,171,Healthcare,Diagnostics & Research
QGEN,Qiagen N.V.,Netherlands,145,77.18,27,37.92,76.93,0.658,0.0465,BUY - High score acceptable risk,172,Healthcare,Diagnostics & Research
SNPS,"Synopsys, Inc.",United States,99,81.73,77,28.94,78.34,0.681,0.1293,WATCH - Monitor for opportunity,176,Technology,Software - Infrastructure
PSTG,"Pure Storage, Inc.",United States,104,80.95,82,28.59,80.31,0.443,0.0263,WATCH - Monitor for opportunity,186,Technology,Computer Hardware
INMD,InMode Ltd.,Israel,100,81.73,90,28.08,81.77,0.436,0.029,WATCH - Monitor for opportunity,190,Healthcare,Medical Devices
CCJ,Cameco Corporation,Canada,148,77.08,47,32.54,76.1,0.687,0.0904,HOLD - Modest potential,195,Energy,Uranium
LOGI,Logitech International S.A.,Switzerland,117,80.09,96,27.55,79.7,0.607,0.1064,WATCH - Monitor for opportunity,213,Technology,Computer Hardware
AMZN,"Amazon.com, Inc.",United States,119,80.0,105,26.41,79.75,0.393,0.0187,WATCH - Monitor for opportunity,224,Consumer Cyclical,Internet Retail
VRT,Vertiv Holdings Co,United States,132,78.26,97,27.54,77.15,0.665,0.1312,WATCH - Monitor for opportunity,229,Industrials,Electrical Equipment & Parts
BLK,"BlackRock, Inc.",United States,106,80.89,126,24.26,81.04,0.531,0.0999,AVOID - Poor risk-adjusted score,232,Financial Services,Asset Management
UPWK,Upwork Inc.,United States,141,77.51,106,26.31,78.31,0.764,-0.1158,WATCH - Monitor for opportunity,247,Communication Services,Internet Content & Information
MU,"Micron Technology, Inc.",United States,147,77.14,102,26.54,76.43,0.798,0.2363,WATCH - Monitor for opportunity,249,Technology,Semiconductors
LSCC,Lattice Semiconductor Corporation,United States,110,80.75,146,23.0,80.44,0.357,0.0235,AVOID - Poor risk-adjusted score,256,Technology,Semiconductors
DXCM,"DexCom, Inc.",United States,138,77.83,139,23.33,77.23,0.428,0.0448,AVOID - Poor risk-adjusted score,277,Healthcare,Medical Devices
