ticker,CompanyName,Country,Sector,Industry,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
QLYS,"Qualys, Inc.",United States,Technology,Software - Infrastructure,66,88.95,-0.027,0.756,0.6,0.007,0.08,31.0,53.56,67.28,64.99,40.66,BUY - Stable quality
RMBS,Rambus Inc.,United States,Technology,Semiconductors,66,97.21,0.065,0.831,1.37,0.014,0.2,5.2,77.52,80.77,87.32,36.87,BUY - Stable quality
WDAY,"Workday, Inc.",United States,Technology,Software - Application,66,83.62,-0.045,0.889,0.91,0.011,0.09,77.98,57.42,74.34,70.15,36.65,BUY - Stable quality
CRM,"Salesforce, Inc.",United States,Technology,Software - Application,66,79.13,-0.027,0.751,0.59,0.007,0.12,128.65,54.24,59.39,57.41,36.13,BUY - Stable quality
PCTY,Paylocity Holding Corporation,United States,Technology,Software - Application,66,84.29,-0.047,0.891,0.96,0.011,0.11,68.85,57.74,75.08,70.66,36.1,BUY - Stable quality
DDOG,"Datadog, Inc.",United States,Technology,Software - Application,66,87.21,0.058,0.848,1.2,0.014,0.03,42.36,74.68,73.96,79.27,36.09,BUY - Stable quality
IDXX,"IDEXX Laboratories, Inc.",United States,Healthcare,Diagnostics & Research,66,77.62,0.026,0.705,0.59,0.008,0.06,146.67,71.63,54.76,56.55,35.46,BUY - Stable quality
MTD,Mettler-Toledo International Inc.,United States,Healthcare,Diagnostics & Research,66,68.23,0.038,0.871,0.78,0.011,0.09,271.85,76.83,59.41,62.24,34.99,BUY - High score acceptable risk
LSCC,Lattice Semiconductor Corporation,United States,Technology,Semiconductors,66,81.65,0.065,0.875,1.32,0.016,0.02,101.08,74.94,71.46,77.22,33.21,BUY - High score acceptable risk
MANH,"Manhattan Associates, Inc.",United States,Technology,Software - Application,66,82.87,0.042,0.726,0.95,0.011,0.03,85.48,71.26,60.18,63.34,32.56,BUY - High score acceptable risk
DT,"Dynatrace, Inc.",United States,Technology,Software - Application,66,85.11,-0.026,0.63,0.62,0.007,0.11,59.56,50.33,53.62,51.9,32.09,BUY - High score acceptable risk
CPRT,"Copart, Inc.",United States,Industrials,Specialty Business Services,66,88.55,-0.022,0.578,0.55,0.006,0.26,33.5,51.95,51.19,49.78,32.02,BUY - High score acceptable risk
