Ticker,CompanyName,Country,Rank_in_Ranked,Score,Rank_in_Stability,Stability_Adjusted_Score,Avg_Score,Linear_R2,Linear_Slope,Recommendation,Combined_Rank,Sector,Industry
PLTR,Palantir Technologies Inc.,United States,1,101.14,7,47.09,101.64,0.642,-0.0291,BUY - Stable quality,8,Technology,Software - Infrastructure
VEEV,Veeva Systems Inc.,United States,6,96.16,2,51.94,96.42,0.67,-0.0189,BUY - Stable quality,8,Healthcare,Health Information Services
META,"Meta Platforms, Inc.",United States,7,95.2,3,51.37,94.7,0.742,0.0408,BUY - Stable quality,10,Communication Services,Internet Content & Information
CDNS,"Cadence Design Systems, Inc.",United States,8,94.49,6,47.19,93.24,0.726,0.048,BUY - Stable quality,14,Technology,Software - Application
DASH,"DoorDash, Inc.",United States,13,92.38,5,47.99,92.28,0.593,0.0132,BUY - Stable quality,18,Consumer Cyclical,Internet Retail
AXON,"Axon Enterprise, Inc.",United States,17,91.51,1,52.87,91.98,0.805,-0.0333,BUY - Stable quality,18,Industrials,Aerospace & Defense
MNST,Monster Beverage Corporation,United States,10,93.41,9,45.66,94.04,0.794,-0.0513,BUY - Stable quality,19,Consumer Defensive,Beverages - Non-Alcoholic
PINS,"Pinterest, Inc.",United States,16,91.86,10,45.1,89.69,0.887,0.0999,BUY - Stable quality,26,Communication Services,Internet Content & Information
DUOL,"Duolingo, Inc.",United States,14,91.91,25,40.08,92.79,0.803,-0.0681,BUY - Stable quality,39,Technology,Software - Application
FFIV,"F5, Inc.",United States,23,90.49,17,42.34,90.81,0.577,-0.0174,BUY - Stable quality,40,Technology,Software - Infrastructure
NXT,Nextracker Inc.,United States,9,94.26,38,37.66,93.1,0.628,0.0569,BUY - High score acceptable risk,47,Technology,Solar
SHOP,Shopify Inc.,Canada,25,90.02,35,37.93,88.46,0.71,0.0736,BUY - High score acceptable risk,60,Technology,Software - Application
CELH,"Celsius Holdings, Inc.",United States,31,89.0,33,39.03,86.88,0.839,0.1112,BUY - High score acceptable risk,64,Consumer Defensive,Beverages - Non-Alcoholic
ROKU,"Roku, Inc.",United States,47,86.32,19,41.73,84.98,0.73,0.0542,BUY - Stable quality,66,Communication Services,Entertainment
DDOG,"Datadog, Inc.",United States,39,87.73,28,39.71,86.29,0.801,0.0905,BUY - High score acceptable risk,67,Technology,Software - Application
PAYC,"Paycom Software, Inc.",United States,26,89.91,47,34.15,90.89,0.76,-0.0783,WATCH - Monitor for opportunity,73,Technology,Software - Application
SPOT,Spotify Technology S.A.,Luxembourg,34,88.81,40,36.96,89.01,0.561,-0.025,BUY - High score acceptable risk,74,Communication Services,Internet Content & Information
GRMN,Garmin Ltd.,Switzerland,28,89.22,51,33.09,88.71,0.622,0.0694,HOLD - Modest potential,79,Technology,Scientific & Technical Instruments
ZM,Zoom Communications Inc.,United States,70,84.11,14,43.82,84.95,0.79,-0.0432,BUY - Stable quality,84,Technology,Software - Application
ARM,Arm Holdings plc,United Kingdom,21,91.15,68,29.89,89.25,0.583,0.0746,WATCH - Monitor for opportunity,89,Technology,Semiconductors
TSM,Taiwan Semiconductor Manufacturing Company Limited,Taiwan,40,87.29,50,33.3,85.3,0.735,0.104,HOLD - Modest potential,90,Technology,Semiconductors
CPRT,"Copart, Inc.",United States,35,88.58,55,32.08,88.89,0.625,-0.0529,WATCH - Monitor for opportunity,90,Industrials,Specialty Business Services
