ticker,CompanyName,Country,Sector,Industry,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
QLYS,"Qualys, Inc.",United States,Technology,Software - Infrastructure,64,88.98,-0.028,0.742,0.59,0.007,0.05,30.84,52.55,66.02,63.75,40.1,BUY - Stable quality
IDXX,"IDEXX Laboratories, Inc.",United States,Healthcare,Diagnostics & Research,64,77.61,0.028,0.76,0.6,0.008,0.06,146.77,73.3,59.0,61.09,38.1,BUY - Stable quality
RMBS,Rambus Inc.,United States,Technology,Semiconductors,64,97.12,0.063,0.817,1.29,0.013,0.21,5.27,77.31,79.37,85.58,37.36,BUY - Stable quality
WDAY,"Workday, Inc.",United States,Technology,Software - Application,64,83.66,-0.045,0.881,0.9,0.011,0.1,77.25,57.27,73.71,69.53,36.69,BUY - Stable quality
PCTY,Paylocity Holding Corporation,United States,Technology,Software - Application,64,84.34,-0.047,0.881,0.93,0.011,0.08,68.03,56.91,74.3,69.93,36.22,BUY - Stable quality
CRM,"Salesforce, Inc.",United States,Technology,Software - Application,64,79.15,-0.028,0.751,0.59,0.007,0.16,128.52,54.96,59.45,57.4,36.13,BUY - Stable quality
DDOG,"Datadog, Inc.",United States,Technology,Software - Application,64,87.16,0.059,0.84,1.18,0.014,0.03,42.67,74.48,73.22,78.54,36.03,BUY - Stable quality
MTD,Mettler-Toledo International Inc.,United States,Healthcare,Diagnostics & Research,64,68.21,0.04,0.886,0.78,0.011,0.13,272.06,77.97,60.43,63.43,35.6,BUY - Stable quality
LSCC,Lattice Semiconductor Corporation,United States,Technology,Semiconductors,64,81.6,0.067,0.877,1.31,0.016,0.05,101.5,75.65,71.54,77.44,33.48,BUY - High score acceptable risk
MANH,"Manhattan Associates, Inc.",United States,Technology,Software - Application,64,82.85,0.044,0.733,0.95,0.011,0.03,85.55,71.48,60.74,64.07,32.86,BUY - High score acceptable risk
CPRT,"Copart, Inc.",United States,Industrials,Specialty Business Services,64,88.56,-0.023,0.574,0.56,0.006,0.27,33.42,51.99,50.83,49.38,31.73,HOLD - Stable but flat
SHOP,Shopify Inc.,Canada,Technology,Software - Application,64,90.0,0.088,0.857,1.75,0.019,0.02,26.86,74.08,77.12,85.42,31.1,HOLD - Stable but flat
PINS,"Pinterest, Inc.",United States,Communication Services,Internet Content & Information,64,91.0,0.072,0.787,1.51,0.017,0.25,21.61,77.03,71.6,78.02,31.1,HOLD - Stable but flat
VEEV,Veeva Systems Inc.,United States,Healthcare,Health Information Services,64,95.61,-0.053,0.744,1.14,0.012,0.11,6.83,53.35,71.12,66.42,31.05,HOLD - Stable but flat
DT,"Dynatrace, Inc.",United States,Technology,Software - Application,64,85.14,-0.025,0.602,0.6,0.007,0.11,59.06,49.56,51.21,49.6,30.95,HOLD - Stable but flat
DOCU,"DocuSign, Inc.",United States,Technology,Software - Application,64,81.33,-0.057,0.867,1.13,0.014,0.29,104.62,60.33,70.49,65.52,30.81,HOLD - Stable but flat
B,Barrick Mining Corporation,Canada,Basic Materials,Gold,39,77.06,0.139,0.876,1.67,0.022,0.24,152.33,78.87,67.54,78.8,29.55,HOLD - Modest potential
FIZZ,National Beverage Corp.,United States,Consumer Defensive,Beverages - Non-Alcoholic,64,83.4,-0.037,0.678,0.83,0.01,0.16,79.89,52.53,56.55,53.95,29.53,HOLD - Good fundamentals
ADBE,Adobe Inc.,United States,Technology,Software - Application,64,79.52,-0.045,0.764,0.95,0.012,0.19,124.88,55.54,60.78,57.37,29.35,HOLD - Good fundamentals
NICE,NICE Ltd.,Israel,Technology,Software - Application,64,80.71,-0.03,0.618,0.71,0.009,0.03,112.19,48.29,49.85,47.98,28.05,HOLD - Good fundamentals
VICR,Vicor Corporation,United States,Technology,Electronic Components,64,78.53,0.051,0.71,1.13,0.014,0.05,134.95,70.8,55.72,59.27,27.88,HOLD - Good fundamentals
AZTA,"Azenta, Inc.",United States,Healthcare,Medical Instruments & Supplies,64,70.44,0.033,0.663,0.75,0.011,0.08,237.11,70.42,46.73,48.67,27.75,HOLD - Good fundamentals
GRMN,Garmin Ltd.,Switzerland,Technology,Scientific & Technical Instruments,64,90.65,0.103,0.828,2.08,0.023,0.05,23.69,73.51,75.09,84.5,27.43,HOLD - Good fundamentals
UBER,"Uber Technologies, Inc.",United States,Technology,Software - Application,64,75.86,0.029,0.584,0.69,0.009,0.02,167.94,66.92,44.28,45.86,27.12,HOLD - Good fundamentals
HOLX,"Hologic, Inc.",United States,Healthcare,Medical Instruments & Supplies,64,73.65,0.059,0.77,1.24,0.017,0.08,195.61,72.99,56.7,60.86,27.12,HOLD - Good fundamentals
PAYC,"Paycom Software, Inc.",United States,Technology,Software - Application,64,90.02,-0.054,0.702,1.19,0.013,0.16,26.0,52.91,63.17,58.95,26.98,HOLD - Good fundamentals
ELF,"e.l.f. Beauty, Inc.",United States,Consumer Defensive,Household & Personal Products,64,78.61,0.099,0.878,1.96,0.025,0.22,136.0,78.31,69.06,77.46,26.19,HOLD - Good fundamentals
RL,Ralph Lauren Corporation,United States,Consumer Cyclical,Apparel Manufacturing,64,76.08,0.07,0.776,1.47,0.019,0.24,165.33,76.11,59.05,64.17,25.99,HOLD - Good fundamentals
VRSN,"VeriSign, Inc.",United States,Technology,Software - Infrastructure,64,74.19,-0.045,0.723,0.97,0.013,0.14,187.12,53.26,53.67,50.69,25.77,HOLD - Good fundamentals
JWN,Unknown,Unknown,Unknown,Unknown,28,44.68,-0.036,0.799,0.32,0.007,0.15,701.07,56.22,35.72,34.12,25.76,HOLD - Needs monitoring
CLS,Celestica Inc.,Canada,Technology,Electronic Components,64,72.55,0.071,0.798,1.46,0.02,0.19,207.62,75.73,57.87,62.92,25.58,HOLD - Good fundamentals
META,"Meta Platforms, Inc.",United States,Communication Services,Internet Content & Information,64,93.92,-0.037,0.549,0.93,0.01,0.16,10.08,48.65,51.55,49.14,25.42,HOLD - Good fundamentals
BIO,"Bio-Rad Laboratories, Inc.",United States,Healthcare,Medical Devices,64,64.87,0.046,0.732,0.99,0.015,0.06,325.45,71.7,47.48,50.18,25.23,HOLD - Good fundamentals
KLIC,"Kulicke and Soffa Industries, Inc.",United States,Technology,Semiconductor Equipment & Materials,64,74.18,0.043,0.637,1.0,0.013,0.02,188.66,68.1,47.29,49.82,24.96,WATCH - Monitor for opportunity
AEIS,"Advanced Energy Industries, Inc.",United States,Industrials,Electrical Equipment & Parts,64,76.43,0.06,0.699,1.33,0.017,0.19,161.27,73.03,53.4,57.38,24.66,WATCH - Monitor for opportunity
EXTR,"Extreme Networks, Inc.",United States,Technology,Communication Equipment,64,71.41,0.034,0.603,0.82,0.011,0.11,223.42,69.15,43.03,44.88,24.65,WATCH - Monitor for opportunity
ABNB,"Airbnb, Inc.",United States,Consumer Cyclical,Travel Services,64,86.05,0.078,0.705,1.71,0.02,0.1,53.8,71.06,60.65,66.47,24.51,WATCH - Monitor for opportunity
BKNG,Booking Holdings Inc.,United States,Consumer Cyclical,Travel Services,64,84.98,0.066,0.662,1.49,0.018,0.17,64.62,71.59,56.25,60.84,24.39,WATCH - Monitor for opportunity
FFIV,"F5, Inc.",United States,Technology,Software - Infrastructure,64,91.83,0.048,0.549,1.2,0.013,0.03,17.67,65.81,50.44,53.46,24.32,WATCH - Monitor for opportunity
CTSH,Cognizant Technology Solutions Corporation,United States,Technology,Information Technology Services,64,76.7,-0.079,0.871,1.56,0.02,0.22,156.94,58.53,66.77,60.28,23.55,WATCH - Monitor for opportunity
ANSS,"ANSYS, Inc.",United States,Technology,Software - Application,64,81.96,0.018,0.425,0.52,0.006,0.0,98.25,42.12,34.87,35.67,23.43,WATCH - Monitor for opportunity
FSLR,"First Solar, Inc.",United States,Technology,Solar,64,73.19,0.108,0.88,2.13,0.029,0.13,201.59,76.04,64.43,72.94,23.3,WATCH - Monitor for opportunity
FIX,"Comfort Systems USA, Inc.",United States,Industrials,Engineering & Construction,64,80.51,0.1,0.783,2.09,0.026,0.02,113.31,71.2,63.02,70.76,22.88,WATCH - Monitor for opportunity
YELP,Yelp Inc.,United States,Communication Services,Internet Content & Information,64,84.45,0.065,0.626,1.53,0.018,0.03,70.48,67.61,52.87,57.16,22.61,WATCH - Monitor for opportunity
SAP,SAP SE,Germany,Technology,Software - Application,64,82.1,-0.09,0.86,1.79,0.022,0.25,96.44,58.71,70.63,62.81,22.49,WATCH - Monitor for opportunity
ON,ON Semiconductor Corporation,United States,Technology,Semiconductors,64,68.04,0.08,0.796,1.65,0.024,0.11,274.69,73.67,54.15,59.48,22.42,WATCH - Monitor for opportunity
AFRM,"Affirm Holdings, Inc.",United States,Technology,Software - Infrastructure,64,61.89,0.069,0.805,1.42,0.023,0.19,378.66,75.66,49.82,54.08,22.33,WATCH - Monitor for opportunity
GE,GE Aerospace,United States,Industrials,Aerospace & Defense,64,79.06,0.069,0.666,1.56,0.02,0.02,130.75,68.31,52.62,57.09,22.33,WATCH - Monitor for opportunity
TYL,"Tyler Technologies, Inc.",United States,Technology,Software - Application,64,77.54,-0.02,0.458,0.56,0.007,0.14,145.62,45.87,35.5,34.59,22.19,WATCH - Monitor for opportunity
VRSK,"Verisk Analytics, Inc.",United States,Industrials,Consulting Services,64,71.33,-0.077,0.867,1.53,0.022,0.08,224.94,55.44,61.83,55.92,22.06,WATCH - Monitor for opportunity
FCX,Freeport-McMoRan Inc.,United States,Basic Materials,Copper,64,70.97,0.081,0.762,1.7,0.024,0.06,230.48,71.74,54.11,59.49,22.0,WATCH - Monitor for opportunity
LRCX,Lam Research Corporation,United States,Technology,Semiconductor Equipment & Materials,64,88.98,0.046,0.513,1.2,0.013,0.06,31.45,65.33,45.67,48.31,22.0,WATCH - Monitor for opportunity
INFY,Infosys Limited,India,Technology,Information Technology Services,64,82.96,-0.077,0.769,1.63,0.02,0.05,85.8,52.07,63.81,57.73,21.99,WATCH - Monitor for opportunity
MMSI,"Merit Medical Systems, Inc.",United States,Healthcare,Medical Instruments & Supplies,64,71.94,-0.049,0.682,1.1,0.015,0.14,216.52,51.78,49.03,46.04,21.94,WATCH - Monitor for opportunity
DFS,Unknown,Unknown,Unknown,Unknown,26,40.45,-0.057,0.849,0.46,0.011,0.04,762.27,55.11,34.33,31.9,21.78,WATCH - Monitor for opportunity
WSM,"Williams-Sonoma, Inc.",United States,Consumer Cyclical,Specialty Retail,64,78.12,0.059,0.617,1.38,0.018,0.08,140.05,68.33,48.2,51.7,21.75,WATCH - Monitor for opportunity
NEM,Newmont Corporation,United States,Basic Materials,Gold,64,83.71,0.083,0.674,1.87,0.022,0.14,77.72,70.85,56.46,62.25,21.66,WATCH - Monitor for opportunity
BOOT,"Boot Barn Holdings, Inc.",United States,Consumer Cyclical,Apparel Retail,64,72.65,0.051,0.617,1.2,0.017,0.02,206.95,67.16,44.79,47.64,21.61,WATCH - Monitor for opportunity
WMB,"The Williams Companies, Inc.",United States,Energy,Oil & Gas Midstream,64,58.92,-0.056,0.821,1.13,0.019,0.02,440.58,53.03,48.39,45.05,21.11,WATCH - Monitor for opportunity
SE,Sea Limited,Singapore,Consumer Cyclical,Internet Retail,64,86.9,0.024,0.398,0.69,0.008,0.17,43.53,44.64,34.6,35.61,21.09,WATCH - Monitor for opportunity
AZN,AstraZeneca PLC,United Kingdom,Healthcare,Drug Manufacturers - General,64,68.52,0.068,0.705,1.5,0.022,0.14,266.84,71.82,48.3,52.37,20.98,WATCH - Monitor for opportunity
CSGP,"CoStar Group, Inc.",United States,Real Estate,Real Estate Services,64,81.6,0.039,0.492,1.03,0.013,0.02,101.42,43.83,40.16,42.11,20.78,WATCH - Monitor for opportunity
FND,"Floor & Decor Holdings, Inc.",United States,Consumer Cyclical,Home Improvement Retail,64,50.66,0.06,0.83,1.21,0.024,0.11,581.75,74.74,42.04,45.15,20.46,WATCH - Monitor for opportunity
SSRM,SSR Mining Inc.,United States,Basic Materials,Gold,64,81.46,0.102,0.717,2.22,0.027,0.33,101.89,75.47,58.44,65.7,20.43,WATCH - Monitor for opportunity
KGC,Kinross Gold Corporation,Canada,Basic Materials,Gold,64,88.82,0.089,0.635,2.06,0.023,0.08,32.81,68.31,56.37,62.53,20.43,WATCH - Monitor for opportunity
PLD,"Prologis, Inc.",United States,Real Estate,REIT - Industrial,64,59.32,0.078,0.813,1.6,0.027,0.02,428.59,72.03,48.25,52.89,20.37,WATCH - Monitor for opportunity
RCL,Royal Caribbean Cruises Ltd.,United States,Consumer Cyclical,Travel Services,64,67.01,0.098,0.816,2.01,0.03,0.21,291.95,75.61,54.68,61.27,20.35,WATCH - Monitor for opportunity
DXCM,"DexCom, Inc.",United States,Healthcare,Medical Devices,64,79.91,0.117,0.769,2.46,0.031,0.02,120.7,70.3,61.44,70.18,20.26,WATCH - Monitor for opportunity
