ticker,CompanyName,Country,Sector,Industry,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
IDXX,"IDEXX Laboratories, Inc.",United States,Healthcare,Diagnostics & Research,59,77.58,0.032,0.804,0.61,0.008,0.12,147.31,75.75,62.38,64.9,40.22,BUY - Stable quality
QLYS,"Qualys, Inc.",United States,Technology,Software - Infrastructure,59,89.04,-0.028,0.709,0.57,0.006,0.03,30.42,51.32,63.14,60.91,38.73,BUY - Stable quality
CRM,"Salesforce, Inc.",United States,Technology,Software - Application,59,79.18,-0.031,0.787,0.6,0.008,0.14,128.14,55.62,62.32,59.91,37.52,BUY - Stable quality
RMBS,Rambus Inc.,United States,Technology,Semiconductors,59,96.96,0.063,0.786,1.21,0.012,0.17,5.32,75.79,76.21,82.14,37.24,BUY - Stable quality
WDAY,"Workday, Inc.",United States,Technology,Software - Application,59,83.77,-0.046,0.857,0.85,0.01,0.05,75.63,55.74,71.81,67.69,36.62,BUY - Stable quality
MTD,Mettler-Toledo International Inc.,United States,Healthcare,Diagnostics & Research,59,68.14,0.043,0.899,0.77,0.011,0.12,273.47,78.26,61.26,64.53,36.46,BUY - Stable quality
PCTY,Paylocity Holding Corporation,United States,Technology,Software - Application,59,84.47,-0.047,0.851,0.86,0.01,0.03,66.15,55.2,71.88,67.7,36.37,BUY - Stable quality
DDOG,"Datadog, Inc.",United States,Technology,Software - Application,59,87.02,0.059,0.808,1.12,0.013,0.02,43.56,73.31,70.34,75.5,35.62,BUY - Stable quality
DOCU,"DocuSign, Inc.",United States,Technology,Software - Application,59,81.52,-0.051,0.879,0.93,0.011,0.29,102.49,61.09,71.66,67.1,34.8,BUY - High score acceptable risk
LSCC,Lattice Semiconductor Corporation,United States,Technology,Semiconductors,59,81.4,0.063,0.846,1.17,0.014,0.07,103.71,75.32,68.84,74.22,34.25,BUY - High score acceptable risk
MANH,"Manhattan Associates, Inc.",United States,Technology,Software - Application,59,82.78,0.048,0.741,0.95,0.012,0.05,86.07,72.11,61.34,65.02,33.27,BUY - High score acceptable risk
VEEV,Veeva Systems Inc.,United States,Healthcare,Health Information Services,59,95.82,-0.045,0.687,0.92,0.01,0.17,6.29,53.11,65.87,62.19,32.34,BUY - High score acceptable risk
PINS,"Pinterest, Inc.",United States,Communication Services,Internet Content & Information,59,90.89,0.08,0.813,1.51,0.017,0.31,22.02,78.92,73.85,81.14,32.32,BUY - High score acceptable risk
SHOP,Shopify Inc.,Canada,Technology,Software - Application,59,89.84,0.094,0.859,1.72,0.019,0.0,27.54,73.86,77.18,86.04,31.64,HOLD - Stable but flat
CPRT,"Copart, Inc.",United States,Industrials,Specialty Business Services,59,88.6,-0.025,0.577,0.57,0.006,0.28,33.15,52.19,51.13,49.52,31.64,HOLD - Stable but flat
GWRE,"Guidewire Software, Inc.",United States,Technology,Software - Application,59,82.61,-0.066,0.897,1.19,0.014,0.19,90.73,59.27,74.12,68.04,31.08,HOLD - Stable but flat
NICE,NICE Ltd.,Israel,Technology,Software - Application,59,80.74,-0.035,0.676,0.73,0.009,0.05,111.9,50.42,54.61,52.21,30.15,HOLD - Stable but flat
B,Barrick Mining Corporation,Canada,Basic Materials,Gold,34,76.74,0.144,0.84,1.54,0.02,0.24,155.85,78.05,64.48,75.6,29.76,HOLD - Modest potential
FIZZ,National Beverage Corp.,United States,Consumer Defensive,Beverages - Non-Alcoholic,59,83.55,-0.03,0.6,0.66,0.008,0.19,77.81,51.01,50.16,48.28,29.06,HOLD - Good fundamentals
ELF,"e.l.f. Beauty, Inc.",United States,Consumer Defensive,Household & Personal Products,59,78.26,0.088,0.87,1.61,0.021,0.19,139.69,77.84,68.09,75.49,28.91,HOLD - Modest potential
AZTA,"Azenta, Inc.",United States,Healthcare,Medical Instruments & Supplies,59,70.39,0.037,0.682,0.77,0.011,0.03,237.98,70.07,48.03,50.25,28.45,HOLD - Modest potential
ADBE,Adobe Inc.,United States,Technology,Software - Application,59,79.63,-0.046,0.723,0.92,0.011,0.19,123.78,54.33,57.56,54.29,28.35,HOLD - Good fundamentals
AMZN,"Amazon.com, Inc.",United States,Consumer Cyclical,Internet Retail,59,80.11,0.017,0.481,0.41,0.005,0.03,119.12,44.6,38.5,39.3,27.92,HOLD - Good fundamentals
GRMN,Garmin Ltd.,Switzerland,Technology,Scientific & Technical Instruments,59,90.46,0.11,0.829,2.05,0.023,0.03,24.42,73.29,75.0,85.04,27.86,HOLD - Good fundamentals
