ticker,CompanyName,Sector,Industry,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,58,77.56,0.033,0.801,0.61,0.008,0.11,147.47,75.36,62.15,64.68,40.15,BUY - Stable quality
CRM,"Salesforce, Inc.",Technology,Software - Application,58,79.18,-0.033,0.837,0.6,0.008,0.16,128.09,57.5,66.25,63.54,39.68,BUY - High score acceptable risk
QLYS,"Qualys, Inc.",Technology,Software - Infrastructure,58,89.05,-0.029,0.703,0.57,0.006,0.02,30.34,50.79,62.58,60.35,38.43,BUY - High score acceptable risk
RMBS,Rambus Inc.,Technology,Semiconductors,58,96.92,0.063,0.776,1.19,0.012,0.16,5.33,75.22,75.23,81.07,37.04,BUY - High score acceptable risk
WDAY,"Workday, Inc.",Technology,Software - Application,58,83.79,-0.046,0.852,0.84,0.01,0.04,75.33,55.25,71.36,67.25,36.57,BUY - High score acceptable risk
MTD,Mettler-Toledo International Inc.,Healthcare,Diagnostics & Research,58,68.12,0.043,0.9,0.77,0.011,0.11,273.74,77.97,61.28,64.6,36.56,HOLD - Stable but flat
PCTY,Paylocity Holding Corporation,Technology,Software - Application,58,84.49,-0.047,0.846,0.85,0.01,0.05,65.86,55.41,71.45,67.28,36.31,BUY - High score acceptable risk
DDOG,"Datadog, Inc.",Technology,Software - Application,58,87.0,0.06,0.807,1.12,0.013,0.0,43.69,72.92,70.18,75.4,35.63,BUY - High score acceptable risk
DOCU,"DocuSign, Inc.",Technology,Software - Application,58,81.54,-0.052,0.882,0.93,0.011,0.32,102.26,61.64,71.93,67.28,34.91,WATCH - Monitor for opportunity
LSCC,Lattice Semiconductor Corporation,Technology,Semiconductors,58,81.35,0.061,0.841,1.12,0.014,0.09,104.28,75.61,68.42,73.63,34.7,HOLD - Modest potential
VEEV,Veeva Systems Inc.,Healthcare,Health Information Services,58,95.87,-0.042,0.686,0.85,0.009,0.16,6.17,52.84,65.75,62.29,33.62,WATCH - Monitor for opportunity
MANH,"Manhattan Associates, Inc.",Technology,Software - Application,58,82.77,0.05,0.749,0.96,0.012,0.04,86.17,72.01,61.97,65.78,33.59,HOLD - Modest potential
CPRT,"Copart, Inc.",Industrials,Specialty Business Services,58,88.6,-0.027,0.608,0.57,0.006,0.3,33.16,53.57,53.9,52.11,33.19,WATCH - Monitor for opportunity
PINS,"Pinterest, Inc.",Communication Services,Internet Content & Information,58,90.86,0.081,0.814,1.51,0.017,0.33,22.09,79.43,73.98,81.41,32.43,HOLD - Modest potential
SHOP,Shopify Inc.,Technology,Software - Application,58,89.8,0.094,0.856,1.71,0.019,0.02,27.69,74.12,76.85,85.75,31.67,HOLD - Modest potential
GWRE,"Guidewire Software, Inc.",Technology,Software - Application,58,82.63,-0.067,0.902,1.19,0.014,0.18,90.48,59.12,74.52,68.3,31.21,WATCH - Monitor for opportunity
NICE,NICE Ltd.,Technology,Software - Application,58,80.75,-0.036,0.68,0.73,0.009,0.07,111.72,50.88,54.87,52.4,30.22,WATCH - Monitor for opportunity
B,Barrick Mining Corporation,Basic Materials,Gold,33,76.67,0.145,0.831,1.52,0.02,0.28,156.52,78.58,63.73,74.82,29.72,WATCH - Monitor for opportunity
ELF,"e.l.f. Beauty, Inc.",Consumer Defensive,Household & Personal Products,58,78.2,0.086,0.868,1.55,0.02,0.18,140.4,77.56,67.86,75.05,29.47,WATCH - Monitor for opportunity
