ticker,CompanyName,Country,Sector,Industry,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
QLYS,"Qualys, Inc.",United States,Technology,Software - Infrastructure,68,88.93,-0.027,0.766,0.6,0.007,0.04,31.15,53.2,68.13,65.84,41.05,BUY - Stable quality
RMBS,Rambus Inc.,United States,Technology,Semiconductors,68,97.3,0.068,0.843,1.45,0.015,0.22,5.13,78.29,82.06,88.94,36.34,BUY - Stable quality
WDAY,"Workday, Inc.",United States,Technology,Software - Application,68,83.58,-0.044,0.885,0.92,0.011,0.09,78.65,57.23,73.95,69.88,36.34,BUY - Stable quality
CRM,"Salesforce, Inc.",United States,Technology,Software - Application,68,79.11,-0.026,0.747,0.59,0.007,0.15,128.87,54.66,59.12,57.21,36.03,BUY - Stable quality
DDOG,"Datadog, Inc.",United States,Technology,Software - Application,68,87.25,0.056,0.845,1.2,0.014,0.06,42.13,75.17,73.74,78.88,35.86,BUY - Stable quality
PCTY,Paylocity Holding Corporation,United States,Technology,Software - Application,68,84.24,-0.048,0.9,0.99,0.012,0.13,69.75,58.51,75.82,71.31,35.85,BUY - Stable quality
MTD,Mettler-Toledo International Inc.,United States,Healthcare,Diagnostics & Research,68,68.26,0.037,0.864,0.78,0.011,0.09,271.6,76.58,58.99,61.71,34.68,BUY - High score acceptable risk
DT,"Dynatrace, Inc.",United States,Technology,Software - Application,68,85.07,-0.027,0.661,0.64,0.008,0.1,60.16,51.16,56.21,54.35,33.07,BUY - High score acceptable risk
CPRT,"Copart, Inc.",United States,Industrials,Specialty Business Services,68,88.53,-0.022,0.599,0.56,0.006,0.28,33.66,53.02,53.06,51.59,33.06,BUY - High score acceptable risk
LSCC,Lattice Semiconductor Corporation,United States,Technology,Semiconductors,68,81.69,0.063,0.87,1.33,0.016,0.01,100.87,74.78,71.1,76.66,32.94,BUY - High score acceptable risk
MANH,"Manhattan Associates, Inc.",United States,Technology,Software - Application,68,82.9,0.041,0.718,0.94,0.011,0.01,85.44,70.7,59.49,62.5,32.21,BUY - High score acceptable risk
IDXX,"IDEXX Laboratories, Inc.",United States,Healthcare,Diagnostics & Research,68,77.62,0.024,0.636,0.59,0.008,0.03,146.81,68.93,49.38,50.85,32.06,BUY - High score acceptable risk
VEEV,Veeva Systems Inc.,United States,Healthcare,Health Information Services,68,95.48,-0.055,0.785,1.22,0.013,0.09,7.21,54.07,74.97,69.83,31.4,HOLD - Stable but flat
DOCU,"DocuSign, Inc.",United States,Technology,Software - Application,68,81.24,-0.055,0.872,1.16,0.014,0.21,105.91,58.93,70.87,66.03,30.62,HOLD - Stable but flat
SHOP,Shopify Inc.,Canada,Technology,Software - Application,68,90.11,0.082,0.848,1.75,0.019,0.01,26.51,73.8,76.43,84.17,30.59,HOLD - Stable but flat
FIZZ,National Beverage Corp.,United States,Consumer Defensive,Beverages - Non-Alcoholic,68,83.33,-0.036,0.71,0.85,0.01,0.18,81.25,53.87,59.18,56.49,30.55,HOLD - Stable but flat
PINS,"Pinterest, Inc.",United States,Communication Services,Internet Content & Information,68,91.08,0.067,0.768,1.5,0.016,0.27,21.46,76.78,69.99,75.78,30.35,HOLD - Stable but flat
