ticker,CompanyName,Country,Sector,Industry,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
QLYS,"Qualys, Inc.",United States,Technology,Software - Infrastructure,63,88.99,-0.028,0.739,0.59,0.007,0.06,30.79,52.8,65.75,63.47,39.95,BUY - Stable quality
IDXX,"IDEXX Laboratories, Inc.",United States,Healthcare,Diagnostics & Research,63,77.61,0.029,0.775,0.61,0.008,0.08,146.87,74.07,60.12,62.32,38.79,BUY - Stable quality
RMBS,Rambus Inc.,United States,Technology,Semiconductors,63,97.07,0.062,0.81,1.25,0.013,0.19,5.3,76.89,78.65,84.68,37.67,BUY - Stable quality
WDAY,"Workday, Inc.",United States,Technology,Software - Application,63,83.68,-0.046,0.876,0.88,0.011,0.08,76.94,56.84,73.32,69.16,36.7,BUY - Stable quality
PCTY,Paylocity Holding Corporation,United States,Technology,Software - Application,63,84.37,-0.047,0.876,0.92,0.011,0.1,67.71,57.13,73.92,69.57,36.24,BUY - Stable quality
DDOG,"Datadog, Inc.",United States,Technology,Software - Application,63,87.14,0.059,0.835,1.17,0.013,0.02,42.86,74.03,72.75,78.06,35.98,BUY - Stable quality
CRM,"Salesforce, Inc.",United States,Technology,Software - Application,63,79.16,-0.028,0.747,0.59,0.007,0.15,128.46,54.57,59.12,57.07,35.97,BUY - Stable quality
MTD,Mettler-Toledo International Inc.,United States,Healthcare,Diagnostics & Research,63,68.2,0.041,0.89,0.78,0.011,0.11,272.38,77.8,60.67,63.73,35.77,BUY - Stable quality
LSCC,Lattice Semiconductor Corporation,United States,Technology,Semiconductors,63,81.56,0.066,0.871,1.29,0.016,0.03,101.9,75.19,71.02,76.84,33.56,BUY - High score acceptable risk
MANH,"Manhattan Associates, Inc.",United States,Technology,Software - Application,63,82.84,0.045,0.735,0.95,0.011,0.05,85.67,71.87,60.9,64.29,32.95,BUY - High score acceptable risk
PINS,"Pinterest, Inc.",United States,Communication Services,Internet Content & Information,63,90.99,0.075,0.803,1.52,0.017,0.27,21.65,77.91,73.09,79.85,31.71,HOLD - Stable but flat
CPRT,"Copart, Inc.",United States,Industrials,Specialty Business Services,63,88.57,-0.023,0.571,0.56,0.006,0.26,33.37,51.67,50.6,49.13,31.55,HOLD - Stable but flat
SHOP,Shopify Inc.,Canada,Technology,Software - Application,63,89.97,0.089,0.859,1.74,0.019,0.03,27.0,74.47,77.26,85.71,31.22,HOLD - Stable but flat
VEEV,Veeva Systems Inc.,United States,Healthcare,Health Information Services,63,95.65,-0.052,0.732,1.11,0.012,0.13,6.73,53.37,69.97,65.43,31.01,HOLD - Stable but flat
DOCU,"DocuSign, Inc.",United States,Technology,Software - Application,63,81.36,-0.056,0.86,1.1,0.014,0.31,104.29,60.58,70.0,65.1,30.93,HOLD - Stable but flat
DT,"Dynatrace, Inc.",United States,Technology,Software - Application,63,85.15,-0.025,0.585,0.59,0.007,0.13,58.84,49.42,49.78,48.23,30.29,HOLD - Stable but flat
B,Barrick Mining Corporation,Canada,Basic Materials,Gold,38,77.01,0.141,0.875,1.65,0.021,0.27,152.97,79.5,67.35,78.76,29.68,HOLD - Modest potential
FIZZ,National Beverage Corp.,United States,Consumer Defensive,Beverages - Non-Alcoholic,63,83.43,-0.036,0.663,0.81,0.01,0.18,79.52,52.46,55.29,52.79,29.19,HOLD - Good fundamentals
ADBE,Adobe Inc.,United States,Technology,Software - Application,63,79.54,-0.045,0.756,0.94,0.012,0.18,124.67,55.03,60.1,56.72,29.17,HOLD - Good fundamentals
NICE,NICE Ltd.,Israel,Technology,Software - Application,63,80.72,-0.031,0.624,0.71,0.009,0.02,112.14,48.17,50.4,48.45,28.27,HOLD - Good fundamentals
AZTA,"Azenta, Inc.",United States,Healthcare,Medical Instruments & Supplies,63,70.43,0.034,0.663,0.75,0.011,0.06,237.33,70.12,46.72,48.69,27.74,HOLD - Good fundamentals
VICR,Vicor Corporation,United States,Technology,Electronic Components,63,78.5,0.051,0.697,1.11,0.014,0.06,135.29,70.8,54.75,58.22,27.58,HOLD - Good fundamentals
GRMN,Garmin Ltd.,Switzerland,Technology,Scientific & Technical Instruments,63,90.62,0.104,0.83,2.08,0.023,0.03,23.83,73.26,75.23,84.82,27.54,HOLD - Good fundamentals
HOLX,"Hologic, Inc.",United States,Healthcare,Medical Instruments & Supplies,63,73.63,0.06,0.77,1.24,0.017,0.06,195.86,72.71,56.73,60.95,27.17,HOLD - Good fundamentals
PAYC,"Paycom Software, Inc.",United States,Technology,Software - Application,63,90.06,-0.052,0.688,1.15,0.013,0.15,25.79,52.26,61.92,57.89,26.95,HOLD - Good fundamentals
UBER,"Uber Technologies, Inc.",United States,Technology,Software - Application,63,75.84,0.029,0.575,0.69,0.009,0.0,168.14,66.36,43.65,45.21,26.77,HOLD - Good fundamentals
ELF,"e.l.f. Beauty, Inc.",United States,Consumer Defensive,Household & Personal Products,63,78.55,0.098,0.874,1.9,0.024,0.21,136.73,78.01,68.68,76.9,26.53,HOLD - Good fundamentals
VRSN,"VeriSign, Inc.",United States,Technology,Software - Infrastructure,63,74.19,-0.046,0.739,0.97,0.013,0.13,187.06,53.44,54.84,51.7,26.2,HOLD - Good fundamentals
RL,Ralph Lauren Corporation,United States,Consumer Cyclical,Apparel Manufacturing,63,76.06,0.071,0.773,1.46,0.019,0.23,165.68,75.78,58.8,63.95,25.95,HOLD - Good fundamentals
JWN,Unknown,Unknown,Unknown,Unknown,28,44.68,-0.036,0.799,0.32,0.007,0.15,701.07,56.22,35.72,34.12,25.76,HOLD - Needs monitoring
CLS,Celestica Inc.,Canada,Technology,Electronic Components,63,72.52,0.072,0.798,1.46,0.02,0.21,207.94,76.14,57.91,63.04,25.64,HOLD - Good fundamentals
BIO,"Bio-Rad Laboratories, Inc.",United States,Healthcare,Medical Devices,63,64.85,0.046,0.726,0.98,0.015,0.05,325.87,71.23,47.08,49.79,25.09,HOLD - Good fundamentals
META,"Meta Platforms, Inc.",United States,Communication Services,Internet Content & Information,63,93.94,-0.037,0.533,0.92,0.01,0.15,9.97,47.91,50.07,47.76,24.83,WATCH - Monitor for opportunity
BKNG,Booking Holdings Inc.,United States,Consumer Cyclical,Travel Services,63,84.97,0.068,0.675,1.5,0.018,0.16,64.73,71.69,57.32,62.14,24.82,WATCH - Monitor for opportunity
ABNB,"Airbnb, Inc.",United States,Consumer Cyclical,Travel Services,63,86.03,0.079,0.709,1.72,0.02,0.08,54.02,70.88,60.96,66.94,24.64,WATCH - Monitor for opportunity
ANSS,"ANSYS, Inc.",United States,Technology,Software - Application,63,81.96,0.019,0.448,0.53,0.006,0.02,98.19,43.11,36.7,37.58,24.62,WATCH - Monitor for opportunity
KLIC,"Kulicke and Soffa Industries, Inc.",United States,Technology,Semiconductor Equipment & Materials,63,74.15,0.042,0.62,0.97,0.013,0.03,189.05,67.94,45.99,48.41,24.54,WATCH - Monitor for opportunity
AEIS,"Advanced Energy Industries, Inc.",United States,Industrials,Electrical Equipment & Parts,63,76.4,0.06,0.688,1.31,0.017,0.18,161.7,72.46,52.55,56.45,24.4,WATCH - Monitor for opportunity
FFIV,"F5, Inc.",United States,Technology,Software - Infrastructure,63,91.81,0.049,0.545,1.2,0.013,0.05,17.73,66.02,50.05,53.08,24.14,WATCH - Monitor for opportunity
EXTR,"Extreme Networks, Inc.",United States,Technology,Communication Equipment,63,71.39,0.034,0.587,0.81,0.011,0.13,223.73,69.05,41.88,43.66,24.13,WATCH - Monitor for opportunity
CTSH,Cognizant Technology Solutions Corporation,United States,Technology,Information Technology Services,63,76.73,-0.079,0.868,1.55,0.02,0.24,156.54,58.86,66.59,60.07,23.56,WATCH - Monitor for opportunity
FSLR,"First Solar, Inc.",United States,Technology,Solar,63,73.14,0.109,0.88,2.12,0.029,0.15,202.1,76.41,64.38,72.98,23.37,WATCH - Monitor for opportunity
AFRM,"Affirm Holdings, Inc.",United States,Technology,Software - Infrastructure,63,61.89,0.072,0.837,1.43,0.023,0.21,378.7,77.0,51.83,56.45,23.21,WATCH - Monitor for opportunity
FIX,"Comfort Systems USA, Inc.",United States,Industrials,Engineering & Construction,63,80.48,0.102,0.787,2.1,0.026,0.0,113.6,71.02,63.37,71.3,23.02,WATCH - Monitor for opportunity
