ticker,CompanyName,Country,Sector,Industry,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
QLYS,"Qualys, Inc.",United States,Technology,Software - Infrastructure,69,88.92,-0.026,0.758,0.6,0.007,0.03,31.19,52.65,67.4,65.18,40.7,BUY - Stable quality
CRM,"Salesforce, Inc.",United States,Technology,Software - Application,69,79.1,-0.026,0.753,0.59,0.007,0.16,128.91,55.07,59.55,57.64,36.24,BUY - Stable quality
RMBS,Rambus Inc.,United States,Technology,Semiconductors,69,97.34,0.069,0.85,1.48,0.015,0.24,5.1,78.67,82.7,89.73,36.13,BUY - Stable quality
WDAY,"Workday, Inc.",United States,Technology,Software - Application,69,83.57,-0.043,0.876,0.92,0.011,0.07,78.87,56.66,73.22,69.28,36.08,BUY - Stable quality
DDOG,"Datadog, Inc.",United States,Technology,Software - Application,69,87.27,0.055,0.844,1.2,0.014,0.04,42.0,74.83,73.67,78.74,35.77,BUY - Stable quality
PCTY,Paylocity Holding Corporation,United States,Technology,Software - Application,69,84.22,-0.048,0.904,1.01,0.012,0.15,70.17,58.88,76.16,71.61,35.71,BUY - Stable quality
MTD,Mettler-Toledo International Inc.,United States,Healthcare,Diagnostics & Research,69,68.27,0.036,0.861,0.78,0.011,0.1,271.33,76.74,58.77,61.42,34.52,BUY - High score acceptable risk
CPRT,"Copart, Inc.",United States,Industrials,Specialty Business Services,69,88.51,-0.022,0.612,0.57,0.006,0.29,33.74,53.61,54.18,52.67,33.64,BUY - High score acceptable risk
DT,"Dynatrace, Inc.",United States,Technology,Software - Application,69,85.06,-0.027,0.673,0.65,0.008,0.09,60.42,51.2,57.28,55.36,33.52,BUY - High score acceptable risk
LSCC,Lattice Semiconductor Corporation,United States,Technology,Semiconductors,69,81.72,0.063,0.875,1.34,0.016,0.03,100.55,75.19,71.5,77.09,32.91,BUY - High score acceptable risk
MANH,"Manhattan Associates, Inc.",United States,Technology,Software - Application,69,82.91,0.04,0.715,0.94,0.011,0.0,85.41,70.31,59.27,62.21,32.1,BUY - High score acceptable risk
IDXX,"IDEXX Laboratories, Inc.",United States,Healthcare,Diagnostics & Research,69,77.62,0.023,0.629,0.58,0.008,0.04,146.74,69.01,48.85,50.27,31.75,HOLD - Stable but flat
VEEV,Veeva Systems Inc.,United States,Healthcare,Health Information Services,69,95.45,-0.055,0.792,1.23,0.013,0.07,7.28,53.94,75.61,70.42,31.52,HOLD - Stable but flat
FIZZ,National Beverage Corp.,United States,Consumer Defensive,Beverages - Non-Alcoholic,69,83.32,-0.036,0.718,0.86,0.01,0.16,81.57,53.76,59.84,57.13,30.79,HOLD - Stable but flat
DOCU,"DocuSign, Inc.",United States,Technology,Software - Application,69,81.22,-0.054,0.868,1.16,0.014,0.21,106.12,58.74,70.52,65.78,30.51,HOLD - Stable but flat
SHOP,Shopify Inc.,Canada,Technology,Software - Application,69,90.14,0.081,0.844,1.75,0.019,0.03,26.42,73.98,76.11,83.69,30.42,HOLD - Stable but flat
PINS,"Pinterest, Inc.",United States,Communication Services,Internet Content & Information,69,91.1,0.065,0.763,1.49,0.016,0.25,21.41,76.25,69.49,75.13,30.14,HOLD - Stable but flat
ADBE,Adobe Inc.,United States,Technology,Software - Application,69,79.42,-0.044,0.789,0.99,0.012,0.15,125.9,55.39,62.7,59.27,29.86,HOLD - Good fundamentals
VICR,Vicor Corporation,United States,Technology,Electronic Components,69,78.69,0.054,0.763,1.23,0.016,0.0,133.57,71.33,60.06,64.1,28.7,HOLD - Modest potential
B,Barrick Mining Corporation,Canada,Basic Materials,Gold,44,77.39,0.136,0.896,1.83,0.024,0.23,149.07,79.16,69.32,80.69,28.53,HOLD - Modest potential
AZTA,"Azenta, Inc.",United States,Healthcare,Medical Instruments & Supplies,69,70.49,0.031,0.67,0.75,0.011,0.09,236.36,70.81,47.26,49.08,28.01,HOLD - Modest potential
PAYC,"Paycom Software, Inc.",United States,Technology,Software - Application,69,89.84,-0.057,0.757,1.31,0.015,0.13,27.06,53.91,68.03,63.21,27.4,HOLD - Good fundamentals
