Ticker,CompanyName,Country,Rank_in_Ranked,Score,Rank_in_Stability,Stability_Adjusted_Score,Avg_Score,Linear_R2,Linear_Slope,Recommendation,Combined_Rank,Sector,Industry
VEEV,Veeva Systems Inc.,United States,5,95.45,1,52.31,96.34,0.726,-0.0231,BUY - Stable quality,6,Healthcare,Health Information Services
MNST,Monster Beverage Corporation,United States,9,93.26,2,44.99,93.94,0.78,-0.0435,BUY - Stable quality,11,Consumer Defensive,Beverages - Non-Alcoholic
CDNS,"Cadence Design Systems, Inc.",United States,7,93.51,5,43.69,93.31,0.675,0.0382,BUY - Stable quality,12,Technology,Software - Application
PINS,"Pinterest, Inc.",United States,12,92.96,16,39.3,90.15,0.909,0.121,BUY - High score acceptable risk,28,Communication Services,Internet Content & Information
DUOL,"Duolingo, Inc.",United States,21,91.55,15,40.69,92.64,0.822,-0.0604,BUY - Stable quality,36,Technology,Software - Application
SHOP,Shopify Inc.,Canada,29,90.02,14,40.71,88.69,0.802,0.0742,BUY - Stable quality,43,Technology,Software - Application
RMBS,Rambus Inc.,United States,3,98.41,46,27.91,96.24,0.505,0.0559,WATCH - Monitor for opportunity,49,Technology,Semiconductors
CELH,"Celsius Holdings, Inc.",United States,33,88.93,20,38.2,87.24,0.895,0.1148,BUY - High score acceptable risk,53,Consumer Defensive,Beverages - Non-Alcoholic
NVDA,NVIDIA Corporation,United States,1,103.07,58,26.18,100.45,0.511,0.0742,WATCH - Monitor for opportunity,59,Technology,Semiconductors
LRCX,Lam Research Corporation,United States,26,90.99,37,32.01,88.54,0.747,0.1048,HOLD - Modest potential,63,Technology,Semiconductor Equipment & Materials
PAYC,"Paycom Software, Inc.",United States,36,88.66,28,34.29,90.64,0.832,-0.0814,WATCH - Monitor for opportunity,64,Technology,Software - Application
DDOG,"Datadog, Inc.",United States,46,86.61,25,34.97,86.44,0.72,0.0728,HOLD - Modest potential,71,Technology,Software - Application
CPRT,"Copart, Inc.",United States,37,88.46,36,32.52,88.8,0.622,-0.0436,WATCH - Monitor for opportunity,73,Industrials,Specialty Business Services
GRMN,Garmin Ltd.,Switzerland,14,92.71,60,26.12,89.26,0.658,0.1159,WATCH - Monitor for opportunity,74,Technology,Scientific & Technical Instruments
TTD,"The Trade Desk, Inc.",United States,41,87.48,34,32.71,86.19,0.608,0.0499,HOLD - Modest potential,75,Communication Services,Advertising Agencies
TSM,Taiwan Semiconductor Manufacturing Company Limited,Taiwan,44,86.79,33,32.97,85.59,0.768,0.0988,HOLD - Modest potential,77,Technology,Semiconductors
ROKU,"Roku, Inc.",United States,55,85.07,26,34.6,85.1,0.639,0.0485,HOLD - Modest potential,81,Communication Services,Entertainment
PDD,PDD Holdings Inc.,Ireland,76,83.56,7,43.01,83.09,0.757,0.0429,BUY - Stable quality,83,Consumer Cyclical,Internet Retail
QLYS,"Qualys, Inc.",United States,35,88.68,54,26.82,89.42,0.399,-0.0174,WATCH - Monitor for opportunity,89,Technology,Software - Infrastructure
MNDY,monday.com Ltd.,Israel,60,84.61,31,33.41,86.08,0.623,-0.038,WATCH - Monitor for opportunity,91,Technology,Software - Application
AMD,"Advanced Micro Devices, Inc.",United States,43,87.05,49,27.68,86.05,0.783,0.151,WATCH - Monitor for opportunity,92,Technology,Semiconductors
BMRN,BioMarin Pharmaceutical Inc.,United States,49,86.38,44,28.4,83.92,0.541,0.0464,WATCH - Monitor for opportunity,93,Healthcare,Biotechnology
ZM,Zoom Communications Inc.,United States,82,83.39,13,40.74,84.74,0.848,-0.0542,BUY - Stable quality,95,Technology,Software - Application
PLTR,Palantir Technologies Inc.,United States,2,102.62,93,21.71,101.63,0.3,-0.0185,AVOID - Poor risk-adjusted score,95,Technology,Software - Infrastructure
ANSS,"ANSYS, Inc.",United States,95,82.36,4,43.92,81.83,0.825,0.0529,BUY - Stable quality,99,Technology,Software - Application
PCTY,Paylocity Holding Corporation,United States,74,83.63,29,33.91,85.02,0.623,-0.0354,WATCH - Monitor for opportunity,103,Technology,Software - Application
WDAY,"Workday, Inc.",United States,78,83.53,35,32.57,84.26,0.642,-0.0419,WATCH - Monitor for opportunity,113,Technology,Software - Application
DOCU,"DocuSign, Inc.",United States,105,81.14,10,41.39,82.15,0.769,-0.0366,BUY - Stable quality,115,Technology,Software - Application
AMZN,"Amazon.com, Inc.",United States,113,80.36,3,44.95,79.93,0.723,0.0253,BUY - Stable quality,116,Consumer Cyclical,Internet Retail
LSCC,Lattice Semiconductor Corporation,United States,101,81.44,17,38.92,80.63,0.639,0.0268,BUY - High score acceptable risk,118,Technology,Semiconductors
MANH,"Manhattan Associates, Inc.",United States,69,83.94,50,27.58,82.27,0.57,0.0563,WATCH - Monitor for opportunity,119,Technology,Software - Application
PSTG,"Pure Storage, Inc.",United States,108,80.81,12,40.94,80.57,0.71,0.0353,BUY - Stable quality,120,Technology,Computer Hardware
GWRE,"Guidewire Software, Inc.",United States,100,81.94,21,37.0,83.29,0.954,-0.0827,BUY - High score acceptable risk,121,Technology,Software - Application
EW,Edwards Lifesciences Corporation,United States,22,91.54,101,20.8,88.19,0.585,0.1306,AVOID - Poor risk-adjusted score,123,Healthcare,Medical Devices
AXON,"Axon Enterprise, Inc.",United States,38,88.2,86,22.36,91.83,0.433,-0.0412,AVOID - Poor risk-adjusted score,124,Industrials,Aerospace & Defense
PANW,"Palo Alto Networks, Inc.",United States,62,84.52,62,25.91,85.73,0.459,-0.0287,WATCH - Monitor for opportunity,124,Technology,Software - Infrastructure
CSGP,"CoStar Group, Inc.",United States,83,83.17,47,27.74,81.1,0.626,0.0716,WATCH - Monitor for opportunity,130,Real Estate,Real Estate Services
CRM,"Salesforce, Inc.",United States,126,79.02,6,43.68,79.57,0.75,-0.0255,BUY - Stable quality,132,Technology,Software - Application
AMAT,"Applied Materials, Inc.",United States,65,84.36,68,24.87,81.81,0.792,0.1735,AVOID - Poor risk-adjusted score,133,Technology,Semiconductor Equipment & Materials
SNPS,"Synopsys, Inc.",United States,85,83.14,48,27.71,79.72,0.901,0.1869,WATCH - Monitor for opportunity,133,Technology,Software - Infrastructure
ONON,On Holding AG,Switzerland,30,89.88,111,19.97,91.4,0.384,-0.0381,AVOID - Poor risk-adjusted score,141,Consumer Cyclical,Footwear & Accessories
MTSI,"MACOM Technology Solutions Holdings, Inc.",United States,42,87.23,99,20.93,87.17,0.322,0.0193,AVOID - Poor risk-adjusted score,141,Technology,Semiconductors
PODD,Insulet Corporation,United States,121,79.66,27,34.49,81.49,0.804,-0.0618,WATCH - Monitor for opportunity,148,Healthcare,Medical Devices
NICE,NICE Ltd.,Israel,115,80.33,38,31.97,81.12,0.661,-0.0435,WATCH - Monitor for opportunity,153,Technology,Software - Application
ELF,"e.l.f. Beauty, Inc.",United States,143,77.85,23,35.71,77.2,0.734,0.0542,BUY - High score acceptable risk,166,Consumer Defensive,Household & Personal Products
YELP,Yelp Inc.,United States,87,83.1,83,23.11,83.24,0.352,-0.0134,AVOID - Poor risk-adjusted score,170,Communication Services,Internet Content & Information
CIEN,Ciena Corporation,United States,138,78.15,32,33.06,76.24,0.861,0.1048,HOLD - Modest potential,170,Technology,Communication Equipment
VRT,Vertiv Holdings Co,United States,103,81.28,74,23.7,78.12,0.755,0.154,AVOID - Poor risk-adjusted score,177,Industrials,Electrical Equipment & Parts
LULU,lululemon athletica inc.,Canada,92,82.54,87,22.26,82.2,0.369,0.0223,AVOID - Poor risk-adjusted score,179,Consumer Cyclical,Apparel Retail
KEYS,"Keysight Technologies, Inc.",United States,56,85.03,127,18.55,84.87,0.259,0.0091,AVOID - Poor risk-adjusted score,183,Technology,Scientific & Technical Instruments
FIX,"Comfort Systems USA, Inc.",United States,98,81.99,89,21.96,79.21,0.658,0.1292,AVOID - Poor risk-adjusted score,187,Industrials,Engineering & Construction
IDXX,"IDEXX Laboratories, Inc.",United States,139,78.1,53,26.91,77.2,0.474,0.0254,WATCH - Monitor for opportunity,192,Healthcare,Diagnostics & Research
PAAS,Pan American Silver Corp.,Canada,122,79.63,71,24.38,80.39,0.643,-0.0688,AVOID - Poor risk-adjusted score,193,Basic Materials,Gold
DXCM,"DexCom, Inc.",United States,99,81.99,100,20.82,78.29,0.658,0.1398,AVOID - Poor risk-adjusted score,199,Healthcare,Medical Devices
