ticker,CompanyName,Sector,Industry,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,57,77.55,0.033,0.798,0.61,0.008,0.12,147.6,75.67,61.92,64.47,40.07,BUY - Stable quality
CRM,"Salesforce, Inc.",Technology,Software - Application,57,79.19,-0.034,0.844,0.6,0.008,0.18,128.02,58.14,66.87,64.06,39.97,BUY - High score acceptable risk
QLYS,"Qualys, Inc.",Technology,Software - Infrastructure,57,89.06,-0.029,0.706,0.57,0.006,0.04,30.28,51.25,62.87,60.58,38.54,BUY - High score acceptable risk
RMBS,Rambus Inc.,Technology,Semiconductors,57,96.89,0.063,0.768,1.18,0.012,0.14,5.33,74.67,74.37,80.14,36.83,BUY - High score acceptable risk
MTD,Mettler-Toledo International Inc.,Healthcare,Diagnostics & Research,57,68.11,0.044,0.903,0.77,0.011,0.12,274.05,78.47,61.52,64.91,36.76,HOLD - Stable but flat
WDAY,"Workday, Inc.",Technology,Software - Application,57,83.81,-0.047,0.847,0.83,0.01,0.05,75.07,55.5,71.02,66.91,36.52,BUY - High score acceptable risk
PCTY,Paylocity Holding Corporation,Technology,Software - Application,57,84.51,-0.047,0.838,0.84,0.01,0.07,65.46,55.57,70.81,66.7,36.27,BUY - High score acceptable risk
LSCC,Lattice Semiconductor Corporation,Technology,Semiconductors,57,81.3,0.059,0.841,1.07,0.013,0.07,104.86,75.34,68.35,73.39,35.52,BUY - High score acceptable risk
DDOG,"Datadog, Inc.",Technology,Software - Application,57,86.97,0.06,0.8,1.11,0.013,0.02,43.84,73.1,69.62,74.82,35.51,BUY - High score acceptable risk
VEEV,Veeva Systems Inc.,Healthcare,Health Information Services,57,95.91,-0.039,0.69,0.78,0.008,0.18,6.05,53.47,66.23,62.99,35.43,BUY - High score acceptable risk
DOCU,"DocuSign, Inc.",Technology,Software - Application,57,81.56,-0.053,0.885,0.93,0.011,0.34,102.11,62.19,72.16,67.42,35.0,BUY - High score acceptable risk
MANH,"Manhattan Associates, Inc.",Technology,Software - Application,57,82.75,0.051,0.751,0.96,0.012,0.02,86.3,71.73,62.16,66.07,33.72,HOLD - Modest potential
CPRT,"Copart, Inc.",Industrials,Specialty Business Services,57,88.61,-0.027,0.6,0.57,0.006,0.29,33.07,53.08,53.19,51.41,32.78,WATCH - Monitor for opportunity
PINS,"Pinterest, Inc.",Communication Services,Internet Content & Information,57,90.83,0.083,0.814,1.51,0.017,0.32,22.18,79.18,73.92,81.45,32.49,HOLD - Modest potential
SHOP,Shopify Inc.,Technology,Software - Application,57,89.76,0.096,0.854,1.7,0.019,0.04,27.84,74.45,76.7,85.69,31.73,HOLD - Modest potential
GWRE,"Guidewire Software, Inc.",Technology,Software - Application,57,82.65,-0.069,0.911,1.19,0.014,0.2,90.25,59.83,75.34,68.89,31.44,WATCH - Monitor for opportunity
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,57,80.11,0.018,0.531,0.41,0.005,0.0,119.07,63.78,42.56,43.54,30.78,HOLD - Modest potential
NICE,NICE Ltd.,Technology,Software - Application,57,80.76,-0.037,0.682,0.74,0.009,0.09,111.63,51.34,55.08,52.55,30.27,WATCH - Monitor for opportunity
ELF,"e.l.f. Beauty, Inc.",Consumer Defensive,Household & Personal Products,57,78.14,0.084,0.865,1.48,0.019,0.16,141.05,77.26,67.59,74.58,30.01,HOLD - Modest potential
B,Barrick Mining Corporation,Basic Materials,Gold,32,76.6,0.146,0.818,1.49,0.019,0.26,157.31,77.77,62.69,73.61,29.62,WATCH - Monitor for opportunity
AZTA,"Azenta, Inc.",Healthcare,Medical Instruments & Supplies,57,70.37,0.039,0.698,0.77,0.011,0.07,238.3,71.27,49.13,51.54,29.06,WATCH - Monitor for opportunity
HQY,"HealthEquity, Inc.",Healthcare,Health Information Services,57,73.13,-0.061,0.881,1.07,0.015,0.14,201.11,57.81,64.41,59.51,28.68,WATCH - Monitor for opportunity
