ticker,CompanyName,Country,Sector,Industry,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
IDXX,"IDEXX Laboratories, Inc.",United States,Healthcare,Diagnostics & Research,60,77.59,0.032,0.8,0.61,0.008,0.1,147.17,75.24,62.07,64.52,40.01,BUY - Stable quality
QLYS,"Qualys, Inc.",United States,Technology,Software - Infrastructure,60,89.03,-0.028,0.716,0.58,0.006,0.05,30.5,51.85,63.75,61.52,39.04,BUY - Stable quality
RMBS,Rambus Inc.,United States,Technology,Semiconductors,60,96.99,0.063,0.796,1.22,0.013,0.19,5.32,76.33,77.16,83.19,37.41,BUY - Stable quality
CRM,"Salesforce, Inc.",United States,Technology,Software - Application,60,79.18,-0.03,0.773,0.59,0.007,0.15,128.2,55.51,61.24,58.94,37.0,BUY - Stable quality
WDAY,"Workday, Inc.",United States,Technology,Software - Application,60,83.74,-0.046,0.863,0.86,0.01,0.07,75.97,56.21,72.25,68.11,36.66,BUY - Stable quality
MTD,Mettler-Toledo International Inc.,United States,Healthcare,Diagnostics & Research,60,68.16,0.043,0.901,0.78,0.011,0.14,273.08,78.6,61.41,64.66,36.41,BUY - Stable quality
PCTY,Paylocity Holding Corporation,United States,Technology,Software - Application,60,84.44,-0.047,0.857,0.87,0.01,0.05,66.52,55.7,72.37,68.17,36.41,BUY - Stable quality
DDOG,"Datadog, Inc.",United States,Technology,Software - Application,60,87.05,0.059,0.815,1.13,0.013,0.0,43.4,73.15,70.94,76.12,35.73,BUY - Stable quality
LSCC,Lattice Semiconductor Corporation,United States,Technology,Semiconductors,60,81.44,0.064,0.851,1.21,0.015,0.08,103.2,75.76,69.34,74.87,33.92,BUY - High score acceptable risk
MANH,"Manhattan Associates, Inc.",United States,Technology,Software - Application,60,82.79,0.047,0.741,0.95,0.012,0.03,85.93,71.76,61.38,65.0,33.26,BUY - High score acceptable risk
PINS,"Pinterest, Inc.",United States,Communication Services,Internet Content & Information,60,90.92,0.079,0.817,1.52,0.017,0.32,21.88,79.27,74.25,81.51,32.35,BUY - High score acceptable risk
CPRT,"Copart, Inc.",United States,Industrials,Specialty Business Services,60,88.59,-0.025,0.578,0.56,0.006,0.29,33.22,52.48,51.24,49.65,31.75,HOLD - Stable but flat
VEEV,Veeva Systems Inc.,United States,Healthcare,Health Information Services,60,95.77,-0.047,0.695,0.98,0.01,0.15,6.4,52.88,66.58,62.67,31.61,HOLD - Stable but flat
SHOP,Shopify Inc.,Canada,Technology,Software - Application,60,89.88,0.093,0.863,1.73,0.019,0.02,27.4,74.3,77.56,86.42,31.61,HOLD - Stable but flat
DOCU,"DocuSign, Inc.",United States,Technology,Software - Application,60,81.46,-0.055,0.839,1.03,0.013,0.31,103.15,59.99,68.31,63.68,31.34,HOLD - Stable but flat
NICE,NICE Ltd.,Israel,Technology,Software - Application,60,80.73,-0.034,0.669,0.73,0.009,0.03,111.98,49.84,54.0,51.69,29.91,HOLD - Good fundamentals
B,Barrick Mining Corporation,Canada,Basic Materials,Gold,35,76.81,0.144,0.851,1.57,0.02,0.26,155.11,78.78,65.37,76.62,29.79,HOLD - Modest potential
FIZZ,National Beverage Corp.,United States,Consumer Defensive,Beverages - Non-Alcoholic,60,83.52,-0.032,0.615,0.7,0.008,0.2,78.27,51.68,51.39,49.34,28.95,HOLD - Good fundamentals
ADBE,Adobe Inc.,United States,Technology,Software - Application,60,79.6,-0.046,0.733,0.92,0.012,0.17,123.98,54.21,58.32,55.01,28.59,HOLD - Good fundamentals
DT,"Dynatrace, Inc.",United States,Technology,Software - Application,60,85.2,-0.024,0.54,0.57,0.007,0.12,58.27,47.92,46.04,44.65,28.47,HOLD - Good fundamentals
ELF,"e.l.f. Beauty, Inc.",United States,Consumer Defensive,Household & Personal Products,60,78.33,0.09,0.872,1.68,0.021,0.2,139.0,78.09,68.31,75.9,28.35,HOLD - Modest potential
AZTA,"Azenta, Inc.",United States,Healthcare,Medical Instruments & Supplies,60,70.4,0.036,0.676,0.76,0.011,0.05,237.8,70.22,47.62,49.77,28.23,HOLD - Modest potential
GRMN,Garmin Ltd.,Switzerland,Technology,Scientific & Technical Instruments,60,90.49,0.108,0.828,2.05,0.023,0.02,24.3,72.9,74.91,84.77,27.76,HOLD - Good fundamentals
HOLX,"Hologic, Inc.",United States,Healthcare,Medical Instruments & Supplies,60,73.58,0.064,0.78,1.25,0.017,0.08,196.67,73.41,57.4,61.93,27.57,HOLD - Good fundamentals
AMZN,"Amazon.com, Inc.",United States,Consumer Cyclical,Internet Retail,60,80.11,0.016,0.465,0.4,0.005,0.05,119.12,44.46,37.25,37.99,27.06,HOLD - Good fundamentals
ANSS,"ANSYS, Inc.",United States,Technology,Software - Application,60,81.96,0.022,0.494,0.54,0.007,0.03,98.08,44.83,40.45,41.55,27.01,HOLD - Good fundamentals
VICR,Vicor Corporation,United States,Technology,Electronic Components,60,78.42,0.051,0.669,1.09,0.014,0.02,135.98,69.02,52.45,55.79,26.74,HOLD - Good fundamentals
VRSN,"VeriSign, Inc.",United States,Technology,Software - Infrastructure,60,74.23,-0.049,0.754,0.98,0.013,0.12,186.5,53.66,55.95,52.53,26.52,HOLD - Good fundamentals
UBER,"Uber Technologies, Inc.",United States,Technology,Software - Application,60,75.81,0.03,0.568,0.69,0.009,0.02,168.57,66.46,43.04,44.65,26.39,HOLD - Good fundamentals
PAYC,"Paycom Software, Inc.",United States,Technology,Software - Application,60,90.15,-0.051,0.65,1.1,0.012,0.14,25.3,50.99,58.58,54.87,26.17,HOLD - Good fundamentals
BKNG,Booking Holdings Inc.,United States,Consumer Cyclical,Travel Services,60,84.92,0.074,0.704,1.53,0.018,0.15,64.98,72.37,59.79,65.26,25.82,HOLD - Good fundamentals
RL,Ralph Lauren Corporation,United States,Consumer Cyclical,Apparel Manufacturing,60,75.96,0.071,0.756,1.42,0.019,0.25,166.92,75.88,57.4,62.47,25.79,HOLD - Good fundamentals
JWN,Unknown,Unknown,Unknown,Unknown,28,44.68,-0.036,0.799,0.32,0.007,0.15,701.07,56.22,35.72,34.12,25.76,HOLD - Needs monitoring
CLS,Celestica Inc.,Canada,Technology,Electronic Components,60,72.44,0.075,0.795,1.45,0.02,0.17,208.88,75.25,57.62,62.94,25.69,HOLD - Good fundamentals
CSGP,"CoStar Group, Inc.",United States,Real Estate,Real Estate Services,60,81.6,0.048,0.611,1.06,0.013,0.02,101.1,67.36,49.84,52.8,25.64,HOLD - Good fundamentals
