ticker,CompanyName,Country,Sector,Industry,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
QLYS,"Qualys, Inc.",United States,Technology,Software - Infrastructure,70,88.92,-0.026,0.753,0.6,0.007,0.04,31.23,52.8,66.99,64.83,40.51,BUY - Stable quality
CRM,"Salesforce, Inc.",United States,Technology,Software - Application,70,79.09,-0.025,0.756,0.59,0.007,0.14,128.97,54.84,59.81,57.9,36.37,BUY - Stable quality
RMBS,Rambus Inc.,United States,Technology,Semiconductors,70,97.39,0.069,0.856,1.52,0.016,0.25,5.07,79.04,83.33,90.49,35.96,BUY - Stable quality
WDAY,"Workday, Inc.",United States,Technology,Software - Application,70,83.56,-0.042,0.868,0.92,0.011,0.09,79.07,56.69,72.56,68.73,35.83,BUY - Stable quality
DDOG,"Datadog, Inc.",United States,Technology,Software - Application,70,87.29,0.055,0.846,1.21,0.014,0.03,41.86,74.57,73.81,78.84,35.75,BUY - Stable quality
PCTY,Paylocity Holding Corporation,United States,Technology,Software - Application,70,84.19,-0.048,0.908,1.02,0.012,0.16,70.57,59.23,76.47,71.89,35.58,BUY - Stable quality
MTD,Mettler-Toledo International Inc.,United States,Healthcare,Diagnostics & Research,70,68.28,0.036,0.854,0.78,0.011,0.09,271.13,76.22,58.3,60.89,34.25,BUY - High score acceptable risk
CPRT,"Copart, Inc.",United States,Industrials,Specialty Business Services,70,88.5,-0.022,0.621,0.57,0.006,0.28,33.81,53.5,54.97,53.45,34.07,BUY - High score acceptable risk
DT,"Dynatrace, Inc.",United States,Technology,Software - Application,70,85.04,-0.027,0.685,0.66,0.008,0.07,60.69,51.22,58.24,56.27,33.92,BUY - High score acceptable risk
LSCC,Lattice Semiconductor Corporation,United States,Technology,Semiconductors,70,81.75,0.063,0.88,1.36,0.017,0.04,100.23,75.61,71.94,77.58,32.86,BUY - High score acceptable risk
MANH,"Manhattan Associates, Inc.",United States,Technology,Software - Application,70,82.92,0.039,0.712,0.94,0.011,0.01,85.34,70.51,59.01,61.88,31.96,HOLD - Stable but flat
IDXX,"IDEXX Laboratories, Inc.",United States,Healthcare,Diagnostics & Research,70,77.63,0.023,0.628,0.58,0.007,0.06,146.63,69.24,48.72,50.11,31.68,HOLD - Stable but flat
VEEV,Veeva Systems Inc.,United States,Healthcare,Health Information Services,70,95.42,-0.055,0.799,1.25,0.013,0.09,7.34,54.4,76.23,71.01,31.61,HOLD - Stable but flat
FIZZ,National Beverage Corp.,United States,Consumer Defensive,Beverages - Non-Alcoholic,70,83.3,-0.036,0.728,0.86,0.01,0.17,81.89,54.27,60.6,57.85,31.04,HOLD - Stable but flat
DOCU,"DocuSign, Inc.",United States,Technology,Software - Application,70,81.2,-0.053,0.866,1.16,0.014,0.22,106.33,58.9,70.31,65.66,30.44,HOLD - Stable but flat
SHOP,Shopify Inc.,Canada,Technology,Software - Application,70,90.16,0.08,0.842,1.75,0.019,0.01,26.33,73.6,75.88,83.32,30.29,HOLD - Stable but flat
ADBE,Adobe Inc.,United States,Technology,Software - Application,70,79.4,-0.043,0.79,0.99,0.012,0.13,126.01,55.05,62.69,59.31,29.86,HOLD - Good fundamentals
PINS,"Pinterest, Inc.",United States,Communication Services,Internet Content & Information,70,91.11,0.064,0.751,1.49,0.016,0.23,21.36,75.54,68.43,73.83,29.71,HOLD - Modest potential
VICR,Vicor Corporation,United States,Technology,Electronic Components,70,78.72,0.055,0.773,1.26,0.016,0.01,133.23,71.89,60.86,64.99,28.82,HOLD - Modest potential
B,Barrick Mining Corporation,Canada,Basic Materials,Gold,45,77.47,0.137,0.903,1.88,0.024,0.25,148.31,79.65,69.91,81.46,28.32,HOLD - Modest potential
AZTA,"Azenta, Inc.",United States,Healthcare,Medical Instruments & Supplies,70,70.5,0.031,0.675,0.75,0.011,0.1,236.1,71.21,47.6,49.42,28.18,HOLD - Modest potential
UBER,"Uber Technologies, Inc.",United States,Technology,Software - Application,70,75.91,0.026,0.595,0.69,0.009,0.01,167.36,67.22,45.15,46.63,27.58,HOLD - Good fundamentals
META,"Meta Platforms, Inc.",United States,Communication Services,Internet Content & Information,70,93.82,-0.036,0.6,0.95,0.01,0.14,10.54,49.88,56.27,53.71,27.53,HOLD - Good fundamentals
PAYC,"Paycom Software, Inc.",United States,Technology,Software - Application,70,89.82,-0.057,0.764,1.32,0.015,0.12,27.21,53.78,68.62,63.77,27.53,HOLD - Good fundamentals
GRMN,Garmin Ltd.,Switzerland,Technology,Scientific & Technical Instruments,70,90.85,0.094,0.82,2.11,0.023,0.04,22.89,73.16,74.51,83.14,26.77,HOLD - Good fundamentals
EXTR,"Extreme Networks, Inc.",United States,Technology,Communication Equipment,70,71.51,0.034,0.661,0.85,0.012,0.03,222.06,69.21,47.25,49.26,26.61,HOLD - Good fundamentals
TYL,"Tyler Technologies, Inc.",United States,Technology,Software - Application,70,77.47,-0.021,0.541,0.58,0.008,0.16,146.79,48.67,41.92,40.81,25.78,HOLD - Good fundamentals
