Ticker,CompanyName,Country,Rank_in_Ranked,Score,Rank_in_Stability,Stability_Adjusted_Score,Avg_Score,Linear_R2,Linear_Slope,Recommendation,Combined_Rank,Sector,Industry
VEEV,Veeva Systems Inc.,United States,6,95.62,1,54.25,96.36,0.731,-0.0211,BUY - Stable quality,7,Healthcare,Health Information Services
PLTR,Palantir Technologies Inc.,United States,2,101.49,7,44.39,101.6,0.602,-0.0245,BUY - Stable quality,9,Technology,Software - Infrastructure
CDNS,"Cadence Design Systems, Inc.",United States,8,93.83,3,45.43,93.31,0.703,0.0405,BUY - Stable quality,11,Technology,Software - Application
MNST,Monster Beverage Corporation,United States,9,93.42,4,44.62,93.96,0.771,-0.044,BUY - Stable quality,13,Consumer Defensive,Beverages - Non-Alcoholic
AXON,"Axon Enterprise, Inc.",United States,19,91.62,2,51.12,91.93,0.774,-0.0283,BUY - Stable quality,21,Industrials,Aerospace & Defense
PINS,"Pinterest, Inc.",United States,14,92.66,19,39.95,90.07,0.903,0.1184,BUY - High score acceptable risk,33,Communication Services,Internet Content & Information
DUOL,"Duolingo, Inc.",United States,17,91.9,17,40.43,92.67,0.81,-0.0605,BUY - Stable quality,34,Technology,Software - Application
SHOP,Shopify Inc.,Canada,26,90.07,18,40.4,88.65,0.79,0.0744,BUY - Stable quality,44,Technology,Software - Application
CELH,"Celsius Holdings, Inc.",United States,33,89.25,24,38.38,87.2,0.894,0.1167,BUY - High score acceptable risk,57,Consumer Defensive,Beverages - Non-Alcoholic
RMBS,Rambus Inc.,United States,4,98.42,63,26.42,96.19,0.464,0.0508,WATCH - Monitor for opportunity,67,Technology,Semiconductors
PAYC,"Paycom Software, Inc.",United States,35,88.94,33,34.63,90.69,0.819,-0.0793,WATCH - Monitor for opportunity,68,Technology,Software - Application
DDOG,"Datadog, Inc.",United States,43,87.07,28,37.17,86.44,0.766,0.0781,BUY - High score acceptable risk,71,Technology,Software - Application
LRCX,Lam Research Corporation,United States,30,89.74,43,31.64,88.48,0.726,0.1025,HOLD - Modest potential,73,Technology,Semiconductor Equipment & Materials
CPRT,"Copart, Inc.",United States,36,88.1,39,33.06,88.81,0.636,-0.0457,WATCH - Monitor for opportunity,75,Industrials,Specialty Business Services
NVDA,NVIDIA Corporation,United States,1,101.88,76,24.74,100.38,0.47,0.0686,AVOID - Poor risk-adjusted score,77,Technology,Semiconductors
ROKU,"Roku, Inc.",United States,54,85.34,25,37.69,85.11,0.696,0.0527,BUY - High score acceptable risk,79,Communication Services,Entertainment
PDD,PDD Holdings Inc.,Ireland,71,83.62,10,43.37,83.08,0.763,0.0444,BUY - Stable quality,81,Consumer Cyclical,Internet Retail
TSM,Taiwan Semiconductor Manufacturing Company Limited,Taiwan,44,86.69,38,33.11,85.55,0.77,0.1016,HOLD - Modest potential,82,Technology,Semiconductors
AMD,"Advanced Micro Devices, Inc.",United States,31,89.69,53,28.6,86.02,0.808,0.1591,WATCH - Monitor for opportunity,84,Technology,Semiconductors
GRMN,Garmin Ltd.,Switzerland,15,92.57,70,25.69,89.17,0.63,0.11,WATCH - Monitor for opportunity,85,Technology,Scientific & Technical Instruments
TTD,"The Trade Desk, Inc.",United States,41,87.4,44,31.43,86.15,0.577,0.0482,HOLD - Modest potential,85,Communication Services,Advertising Agencies
ZM,Zoom Communications Inc.,United States,74,83.38,16,41.1,84.77,0.838,-0.0527,BUY - Stable quality,90,Technology,Software - Application
ANSS,"ANSYS, Inc.",United States,88,82.37,5,44.55,81.81,0.836,0.0549,BUY - Stable quality,93,Technology,Software - Application
MNDY,monday.com Ltd.,Israel,58,84.75,37,33.54,86.12,0.601,-0.0346,WATCH - Monitor for opportunity,95,Technology,Software - Application
BMRN,BioMarin Pharmaceutical Inc.,United States,52,85.59,48,30.32,83.86,0.541,0.0392,HOLD - Modest potential,100,Healthcare,Biotechnology
PCTY,Paylocity Holding Corporation,United States,67,83.86,34,34.11,85.06,0.602,-0.0321,WATCH - Monitor for opportunity,101,Technology,Software - Application
WDAY,"Workday, Inc.",United States,72,83.6,42,31.85,84.28,0.625,-0.0421,WATCH - Monitor for opportunity,114,Technology,Software - Application
DOCU,"DocuSign, Inc.",United States,101,81.3,15,41.28,82.18,0.752,-0.0351,BUY - Stable quality,116,Technology,Software - Application
QLYS,"Qualys, Inc.",United States,34,89.13,83,23.96,89.44,0.35,-0.0156,AVOID - Poor risk-adjusted score,117,Technology,Software - Infrastructure
PSTG,"Pure Storage, Inc.",United States,106,80.99,13,42.17,80.57,0.732,0.0372,BUY - Stable quality,119,Technology,Computer Hardware
GWRE,"Guidewire Software, Inc.",United States,94,82.1,27,37.2,83.33,0.952,-0.0835,BUY - High score acceptable risk,121,Technology,Software - Application
AMZN,"Amazon.com, Inc.",United States,115,80.14,8,44.26,79.92,0.71,0.0255,BUY - Stable quality,123,Consumer Cyclical,Internet Retail
MANH,"Manhattan Associates, Inc.",United States,65,84.01,64,26.32,82.22,0.535,0.0535,WATCH - Monitor for opportunity,129,Technology,Software - Application
EW,Edwards Lifesciences Corporation,United States,18,91.78,116,20.0,88.1,0.554,0.1264,AVOID - Poor risk-adjusted score,134,Healthcare,Medical Devices
LSCC,Lattice Semiconductor Corporation,United States,108,80.64,26,37.6,80.6,0.609,0.0254,BUY - High score acceptable risk,134,Technology,Semiconductors
CRM,"Salesforce, Inc.",United States,125,78.91,11,42.86,79.58,0.731,-0.0252,BUY - Stable quality,136,Technology,Software - Application
MTSI,"MACOM Technology Solutions Holdings, Inc.",United States,40,87.48,97,22.07,87.17,0.34,0.0207,AVOID - Poor risk-adjusted score,137,Technology,Semiconductors
SNPS,"Synopsys, Inc.",United States,80,83.19,57,27.87,79.63,0.894,0.1871,WATCH - Monitor for opportunity,137,Technology,Software - Infrastructure
PANW,"Palo Alto Networks, Inc.",United States,59,84.66,81,24.13,85.76,0.414,-0.0256,AVOID - Poor risk-adjusted score,140,Technology,Software - Infrastructure
CSGP,"CoStar Group, Inc.",United States,82,82.98,62,26.89,81.04,0.595,0.0683,WATCH - Monitor for opportunity,144,Real Estate,Real Estate Services
PODD,Insulet Corporation,United States,113,80.22,32,35.37,81.54,0.796,-0.0587,BUY - High score acceptable risk,145,Healthcare,Medical Devices
AMAT,"Applied Materials, Inc.",United States,76,83.34,74,24.84,81.74,0.787,0.1764,AVOID - Poor risk-adjusted score,150,Technology,Semiconductor Equipment & Materials
NICE,NICE Ltd.,Israel,111,80.47,45,31.27,81.14,0.644,-0.0436,WATCH - Monitor for opportunity,156,Technology,Software - Application
ACLS,"Axcelis Technologies, Inc.",United States,145,77.18,12,42.51,76.58,0.762,0.0354,BUY - Stable quality,157,Technology,Semiconductor Equipment & Materials
MELI,"MercadoLibre, Inc.",Uruguay,116,79.9,49,30.31,81.25,0.618,-0.042,WATCH - Monitor for opportunity,165,Consumer Cyclical,Internet Retail
ELF,"e.l.f. Beauty, Inc.",United States,137,77.99,31,35.82,77.19,0.735,0.0558,BUY - High score acceptable risk,168,Consumer Defensive,Household & Personal Products
YELP,Yelp Inc.,United States,81,83.02,91,23.01,83.25,0.351,-0.0138,AVOID - Poor risk-adjusted score,172,Communication Services,Internet Content & Information
CIEN,Ciena Corporation,United States,135,78.31,40,33.03,76.19,0.851,0.1049,HOLD - Modest potential,175,Technology,Communication Equipment
ONON,On Holding AG,Switzerland,27,90.03,149,17.96,91.44,0.335,-0.0344,AVOID - Poor risk-adjusted score,176,Consumer Cyclical,Footwear & Accessories
TYL,"Tyler Technologies, Inc.",United States,136,78.07,46,30.98,77.68,0.685,-0.0478,WATCH - Monitor for opportunity,182,Technology,Software - Application
VRT,Vertiv Holdings Co,United States,99,81.4,86,23.44,78.03,0.737,0.1526,AVOID - Poor risk-adjusted score,185,Industrials,Electrical Equipment & Parts
LULU,lululemon athletica inc.,Canada,85,82.6,103,21.55,82.19,0.358,0.0226,AVOID - Poor risk-adjusted score,188,Consumer Cyclical,Apparel Retail
CCJ,Cameco Corporation,Canada,86,82.51,109,21.0,76.83,0.629,0.1219,AVOID - Poor risk-adjusted score,195,Energy,Uranium
PAAS,Pan American Silver Corp.,Canada,121,79.18,79,24.35,80.41,0.646,-0.0711,AVOID - Poor risk-adjusted score,200,Basic Materials,Gold
FIX,"Comfort Systems USA, Inc.",United States,96,81.94,105,21.42,79.13,0.635,0.1274,AVOID - Poor risk-adjusted score,201,Industrials,Engineering & Construction
DXCM,"DexCom, Inc.",United States,89,82.36,113,20.35,78.19,0.63,0.1347,AVOID - Poor risk-adjusted score,202,Healthcare,Medical Devices
IDXX,"IDEXX Laboratories, Inc.",United States,128,78.81,75,24.81,77.17,0.431,0.0234,AVOID - Poor risk-adjusted score,203,Healthcare,Diagnostics & Research
RGLD,"Royal Gold, Inc.",United States,92,82.12,121,19.45,83.97,0.703,-0.1239,AVOID - Poor risk-adjusted score,213,Basic Materials,Gold
GE,GE Aerospace,United States,114,80.21,104,21.48,78.21,0.614,0.1133,AVOID - Poor risk-adjusted score,218,Industrials,Aerospace & Defense
EME,"EMCOR Group, Inc.",United States,149,76.77,85,23.55,75.3,0.701,0.1237,AVOID - Poor risk-adjusted score,234,Industrials,Engineering & Construction
REGN,"Regeneron Pharmaceuticals, Inc.",United States,140,77.81,96,22.69,77.65,0.329,0.0074,AVOID - Poor risk-adjusted score,236,Healthcare,Biotechnology
SAP,SAP SE,Germany,107,80.96,144,18.0,83.4,0.484,-0.0686,AVOID - Poor risk-adjusted score,251,Technology,Software - Application
SSRM,SSR Mining Inc.,United States,119,79.46,148,17.96,79.66,0.312,-0.0183,AVOID - Poor risk-adjusted score,267,Basic Materials,Gold
PTC,PTC Inc.,United States,150,76.53,145,18.0,71.36,0.654,0.1574,AVOID - Poor risk-adjusted score,295,Technology,Software - Application
