ticker,CompanyName,Country,Sector,Industry,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
QLYS,"Qualys, Inc.",United States,Technology,Software - Infrastructure,65,88.97,-0.027,0.748,0.59,0.007,0.06,30.92,53.04,66.58,64.31,40.36,BUY - Stable quality
RMBS,Rambus Inc.,United States,Technology,Semiconductors,65,97.16,0.064,0.825,1.32,0.014,0.19,5.23,77.15,80.18,86.55,37.26,BUY - Stable quality
WDAY,"Workday, Inc.",United States,Technology,Software - Application,65,83.64,-0.045,0.886,0.91,0.011,0.11,77.55,57.67,74.06,69.88,36.66,BUY - Stable quality
IDXX,"IDEXX Laboratories, Inc.",United States,Healthcare,Diagnostics & Research,65,77.61,0.027,0.723,0.6,0.008,0.05,146.71,71.85,56.11,58.01,36.29,BUY - Stable quality
CRM,"Salesforce, Inc.",United States,Technology,Software - Application,65,79.14,-0.027,0.754,0.59,0.007,0.14,128.55,54.7,59.7,57.66,36.26,BUY - Stable quality
PCTY,Paylocity Holding Corporation,United States,Technology,Software - Application,65,84.32,-0.047,0.886,0.94,0.011,0.09,68.37,57.34,74.7,70.3,36.17,BUY - Stable quality
DDOG,"Datadog, Inc.",United States,Technology,Software - Application,65,87.19,0.058,0.844,1.19,0.014,0.05,42.51,74.89,73.58,78.9,36.06,BUY - Stable quality
MTD,Mettler-Toledo International Inc.,United States,Healthcare,Diagnostics & Research,65,68.22,0.039,0.879,0.78,0.011,0.11,271.88,77.41,59.96,62.87,35.31,BUY - Stable quality
LSCC,Lattice Semiconductor Corporation,United States,Technology,Semiconductors,65,81.63,0.066,0.881,1.33,0.016,0.03,101.15,75.43,71.91,77.82,33.45,BUY - High score acceptable risk
MANH,"Manhattan Associates, Inc.",United States,Technology,Software - Application,65,82.86,0.043,0.731,0.95,0.011,0.02,85.43,71.11,60.59,63.86,32.78,BUY - High score acceptable risk
CPRT,"Copart, Inc.",United States,Industrials,Specialty Business Services,65,88.56,-0.023,0.579,0.56,0.006,0.28,33.48,52.36,51.24,49.8,32.0,BUY - High score acceptable risk
DT,"Dynatrace, Inc.",United States,Technology,Software - Application,65,85.12,-0.025,0.615,0.61,0.007,0.09,59.29,49.61,52.34,50.68,31.52,HOLD - Stable but flat
VEEV,Veeva Systems Inc.,United States,Healthcare,Health Information Services,65,95.57,-0.054,0.755,1.16,0.012,0.09,6.92,53.32,72.2,67.36,31.13,HOLD - Stable but flat
SHOP,Shopify Inc.,Canada,Technology,Software - Application,65,90.03,0.086,0.853,1.75,0.019,0.03,26.74,74.28,76.82,84.95,30.93,HOLD - Stable but flat
DOCU,"DocuSign, Inc.",United States,Technology,Software - Application,65,81.3,-0.057,0.872,1.14,0.014,0.27,104.94,60.08,70.92,65.91,30.77,HOLD - Stable but flat
PINS,"Pinterest, Inc.",United States,Communication Services,Internet Content & Information,65,91.02,0.071,0.776,1.5,0.017,0.27,21.55,76.95,70.65,76.82,30.7,HOLD - Stable but flat
FIZZ,National Beverage Corp.,United States,Consumer Defensive,Beverages - Non-Alcoholic,65,83.39,-0.036,0.681,0.83,0.01,0.14,80.08,52.26,56.81,54.23,29.67,HOLD - Good fundamentals
ADBE,Adobe Inc.,United States,Technology,Software - Application,65,79.49,-0.045,0.773,0.97,0.012,0.2,125.11,56.05,61.49,58.02,29.51,HOLD - Good fundamentals
B,Barrick Mining Corporation,Canada,Basic Materials,Gold,40,77.11,0.136,0.876,1.68,0.022,0.21,151.68,78.22,67.57,78.62,29.39,HOLD - Modest potential
