Ticker,CompanyName,Country,Rank_in_Ranked,Score,Rank_in_Stability,Stability_Adjusted_Score,Avg_Score,Linear_R2,Linear_Slope,Recommendation,Combined_Rank,Sector,Industry
VEEV,Veeva Systems Inc.,United States,7,95.01,1,49.9,96.22,0.773,-0.031,BUY - Stable quality,8,Healthcare,Health Information Services
RMBS,Rambus Inc.,United States,5,98.38,19,33.53,96.47,0.651,0.067,HOLD - Modest potential,24,Technology,Semiconductors
PINS,"Pinterest, Inc.",United States,18,91.93,11,37.13,90.42,0.907,0.117,BUY - High score acceptable risk,29,Communication Services,Internet Content & Information
SHOP,Shopify Inc.,Canada,16,92.28,23,32.1,89.11,0.784,0.104,HOLD - Modest potential,39,Technology,Software - Application
NVDA,NVIDIA Corporation,United States,2,101.1,37,27.71,100.62,0.553,0.071,WATCH - Monitor for opportunity,39,Technology,Semiconductors
CDNS,"Cadence Design Systems, Inc.",United States,12,93.16,36,28.4,93.31,0.438,0.026,WATCH - Monitor for opportunity,48,Technology,Software - Application
DDOG,"Datadog, Inc.",United States,38,87.91,15,35.06,86.62,0.756,0.073,BUY - High score acceptable risk,53,Technology,Software - Application
GRMN,Garmin Ltd.,Switzerland,15,92.4,38,27.58,89.65,0.754,0.128,WATCH - Monitor for opportunity,53,Technology,Scientific & Technical Instruments
QLYS,"Qualys, Inc.",United States,35,88.16,21,32.61,89.27,0.569,-0.03,WATCH - Monitor for opportunity,56,Technology,Software - Infrastructure
LRCX,Lam Research Corporation,United States,28,89.63,30,30.63,88.7,0.725,0.092,HOLD - Modest potential,58,Technology,Semiconductor Equipment & Materials
CPRT,"Copart, Inc.",United States,34,88.2,28,31.21,88.75,0.585,-0.036,WATCH - Monitor for opportunity,62,Industrials,Specialty Business Services
PAYC,"Paycom Software, Inc.",United States,30,88.77,33,29.76,90.45,0.776,-0.08,WATCH - Monitor for opportunity,63,Technology,Software - Application
PDD,PDD Holdings Inc.,Ireland,72,83.41,9,38.11,83.13,0.669,0.034,BUY - High score acceptable risk,81,Consumer Cyclical,Internet Retail
ONON,On Holding AG,Switzerland,33,88.28,50,24.39,91.15,0.563,-0.058,AVOID - Poor risk-adjusted score,83,Consumer Cyclical,Footwear & Accessories
BMRN,BioMarin Pharmaceutical Inc.,United States,60,84.79,25,31.68,84.08,0.634,0.05,HOLD - Modest potential,85,Healthcare,Biotechnology
PCTY,Paylocity Holding Corporation,United States,76,83.25,14,35.09,84.85,0.727,-0.045,BUY - High score acceptable risk,90,Technology,Software - Application
