Factor,Pearson,p-value,Spearman,Significant,Error
momentum,0.20756451292790118,0.011084121129633452,0.21027960340058613,Yes,
size,0.10384530480959361,0.2075508918563942,0.11903359262543323,No,
financial_health,0.06727255880626348,0.4149724235557961,0.061487824607285274,No,
credit,0.0015884692177709873,0.9846604556327908,0.034395420342444256,No,
insider,0.04804544444407577,0.5606566522640845,0.021527555561519755,No,
growth,0.1108230952651198,0.17845605926835156,0.011527852204796674,No,
quality,-0.04963888485369958,0.5477150111738096,-0.010779129972947858,No,
liquidity,0.08114318116478647,0.3252333125890969,-0.056059178720917625,No,
value,0.01852094567149782,0.8226077500593275,-0.06306040398370168,No,
technical,-0.14966267351067974,0.06849220476776408,-0.10487212044259023,No,
carry,-0.06324824331866,0.44349254502489494,-0.12475418041180415,No,
stability,-0.1775274374432309,0.03031244668129002,-0.1893396241709265,Yes,
