Portfolio,Tickers
TopRank_S20_P50,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, CDNS, DUOL, GOOGL, GOOG, FFIV, PINS, HIMS, NXT, GRMN, INCY, FTNT"
SectorBal3_S20_P50,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, GOOGL, HIMS, INCY, AXON, SEIC, ONON, AEM, KGC, CPRT, DASH, SE"
IndustryBal_S20_P50,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, CDNS, DUOL, FFIV, HIMS, NXT, GRMN, INCY, AXON, SEIC, ONON, AEM"
Stability_S20_P50,"QLYS, RMBS, DDOG, CPRT, VEEV, SHOP, PINS, PAYC, GRMN, META, ABNB, LRCX, FFIV, SE, KGC, AEM, NVDA, ONON, MTSI, RDDT"
PosMomentum_S20_P50,"PLTR, NVDA, RMBS, RDDT, MNST, GOOGL, GOOG, FFIV, PINS, NXT, GRMN, INCY, SHOP, IDCC, MPWR, AEM, RMD, LRCX, KGC, EW"
HybridStability_S20_P50,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, GOOGL, HIMS, INCY, AXON, SEIC, ONON, AEM, KGC, CPRT, DASH, SE"
TopRank_S10_P100,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, CDNS"
SectorBal2_S10_P100,"PLTR, NVDA, EXEL, VEEV, RDDT, META, MNST, WPM, HIMS, AXON"
SectorBal3_S10_P100,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, GOOGL"
IndustryBal_S10_P100,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, CDNS"
Stability_S10_P100,"QLYS, RMBS, WDAY, DDOG, PCTY, DT, CPRT, LSCC, MANH, VEEV"
PosMomentum_S10_P100,"PLTR, NVDA, RMBS, RDDT, MNST, GOOGL, GOOG, FFIV, PINS, NXT"
TopRank_S15_P100,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, CDNS, DUOL, GOOGL, GOOG, FFIV, PINS"
SectorBal2_S15_P100,"PLTR, NVDA, EXEL, VEEV, RDDT, META, MNST, WPM, HIMS, AXON, SEIC, ONON, AEM, CPRT, DASH"
SectorBal3_S15_P100,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, GOOGL, HIMS, INCY, AXON, SEIC, ONON"
IndustryBal_S15_P100,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, CDNS, DUOL, FFIV, HIMS, NXT, GRMN"
Stability_S15_P100,"QLYS, RMBS, WDAY, DDOG, PCTY, DT, CPRT, LSCC, MANH, VEEV, SHOP, FIZZ, PINS, PAYC, GRMN"
PosMomentum_S15_P100,"PLTR, NVDA, RMBS, RDDT, MNST, GOOGL, GOOG, FFIV, PINS, NXT, GRMN, INCY, SHOP, IDCC, MPWR"
HybridStability_S15_P100,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, GOOGL, HIMS, INCY, AXON, SEIC, ONON"
TopRank_S20_P100,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, CDNS, DUOL, GOOGL, GOOG, FFIV, PINS, HIMS, NXT, GRMN, INCY, FTNT"
SectorBal3_S20_P100,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, GOOGL, HIMS, INCY, AXON, SEIC, ONON, AEM, KGC, CPRT, DASH, SE"
IndustryBal_S20_P100,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, CDNS, DUOL, FFIV, HIMS, NXT, GRMN, INCY, AXON, SEIC, ONON, AEM"
Stability_S20_P100,"QLYS, RMBS, WDAY, DDOG, PCTY, DT, CPRT, LSCC, MANH, VEEV, SHOP, FIZZ, PINS, PAYC, GRMN, META, ABNB, LRCX, FFIV, YELP"
PosMomentum_S20_P100,"PLTR, NVDA, RMBS, RDDT, MNST, GOOGL, GOOG, FFIV, PINS, NXT, GRMN, INCY, SHOP, IDCC, MPWR, AEM, RMD, LRCX, KGC, EW"
HybridStability_S20_P100,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, GOOGL, HIMS, INCY, AXON, SEIC, ONON, AEM, KGC, CPRT, DASH, SE"
TopRank_S10_P150,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, CDNS"
SectorBal2_S10_P150,"PLTR, NVDA, EXEL, VEEV, RDDT, META, MNST, WPM, HIMS, AXON"
SectorBal3_S10_P150,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, GOOGL"
IndustryBal_S10_P150,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, CDNS"
Stability_S10_P150,"QLYS, RMBS, WDAY, CRM, DDOG, PCTY, DT, CPRT, LSCC, MANH"
PosMomentum_S10_P150,"PLTR, NVDA, RMBS, RDDT, MNST, GOOGL, GOOG, FFIV, PINS, NXT"
Recommended_S10_P150,"RMBS, QLYS, CPRT, DDOG, DT, PCTY, WDAY, MANH, LSCC, CRM"
TopRank_S15_P150,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, CDNS, DUOL, GOOGL, GOOG, FFIV, PINS"
SectorBal2_S15_P150,"PLTR, NVDA, EXEL, VEEV, RDDT, META, MNST, WPM, HIMS, AXON, SEIC, ONON, AEM, CPRT, DASH"
SectorBal3_S15_P150,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, GOOGL, HIMS, INCY, AXON, SEIC, ONON"
IndustryBal_S15_P150,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, CDNS, DUOL, FFIV, HIMS, NXT, GRMN"
Stability_S15_P150,"QLYS, RMBS, WDAY, CRM, DDOG, PCTY, DT, CPRT, LSCC, MANH, IDXX, VEEV, DOCU, SHOP, FIZZ"
PosMomentum_S15_P150,"PLTR, NVDA, RMBS, RDDT, MNST, GOOGL, GOOG, FFIV, PINS, NXT, GRMN, INCY, SHOP, IDCC, MPWR"
HybridStability_S15_P150,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, GOOGL, HIMS, INCY, AXON, SEIC, ONON"
TopRank_S20_P150,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, CDNS, DUOL, GOOGL, GOOG, FFIV, PINS, HIMS, NXT, GRMN, INCY, FTNT"
SectorBal3_S20_P150,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, GOOGL, HIMS, INCY, AXON, SEIC, ONON, AEM, KGC, CPRT, DASH, SE"
IndustryBal_S20_P150,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, CDNS, DUOL, FFIV, HIMS, NXT, GRMN, INCY, AXON, SEIC, ONON, AEM"
Stability_S20_P150,"QLYS, RMBS, WDAY, CRM, DDOG, PCTY, DT, CPRT, LSCC, MANH, IDXX, VEEV, DOCU, SHOP, FIZZ, PINS, ADBE, B, VICR, PAYC"
PosMomentum_S20_P150,"PLTR, NVDA, RMBS, RDDT, MNST, GOOGL, GOOG, FFIV, PINS, NXT, GRMN, INCY, SHOP, IDCC, MPWR, AEM, RMD, LRCX, KGC, EW"
HybridStability_S20_P150,"PLTR, NVDA, RMBS, EXEL, VEEV, RDDT, META, MNST, WPM, GOOGL, HIMS, INCY, AXON, SEIC, ONON, AEM, KGC, CPRT, DASH, SE"
